"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank","a.cycle.start","a.cycle.stop","a.state","a.trimester","a.cub1","a.cub2","a.notes","age.1st.part.mon","age.1st.part.days","long.mon","long.days","cur.age.2017.mon","cur.age.2019.mon","dob.mon","migratn.seas","dob.yr","hum.pres","part.rt.censr","mean.meth.cnt","mean.meth.quint"
"11","bora","cubsub",1,81.2972558,81.3,NA,2012-06-01,2012-06-01,526,17.28,526,17.28,"subadult",2011-12-06,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-12-23,NA,"talek",2012-04-11,NA,NA,"f","r","art",NA,"single",NA,"2013-12-09","2014-07-06","l","4","gofa","rngu","",35.5,1082,NA,NA,72.3,96.3,12,"none",2010,"hi",1,5.42120481927711,"Q5"
"12","brgr","cubsub",1,76.19953208,76.2,NA,2013-05-28,2013-05-28,576,18.92,576,18.92,"subadult",2012-09-19,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-10-30,NA,"talek",2012-12-11,NA,NA,"f","r","cen",NA,"twin",1,"2014-12-02","2016-07-15","l","4","mcds",NA,"",37.1,1129,NA,NA,62.1,86.1,10,"migration",2011,"hi",1,0.321204819277114,"Q3"
"13","bsl","cubsub",1,77.1972763,77.2,NA,2004-11-06,2004-11-06,625,20.53,625,20.53,"subadult",2003-12-14,NA,NA,2006-07-19,"dls","inferred dead",2003-02-20,NA,"talek",2004-01-27,NA,NA,"f","r","whh",NA,NA,NA,"2005-04-16","2005-11-20","l","4","lj","mmn","",25.8,786,40.9,1245,166.4,190.3,2,"none",2003,"med",1,1.32120481927711,"Q4"
"14","bsp","cubsub",1,75.90787513,75.91,NA,2000-05-28,2000-05-28,400,13.14,400,13.14,"subadult",1999-12-18,NA,NA,2001-05-08,"dls","inferred dead",1999-04-24,NA,"talek",2000-03-02,NA,NA,"f","r","mp","zig","twin",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,745,212.3,236.3,4,"none",1999,"low",0,0.0312048192771073,"Q3"
"15","byte","cubsub",1,70.87341993,70.87,NA,2014-09-17,2014-09-17,613,20.14,613,20.14,"subadult",2013-08-08,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-12,NA,"talek",2013-10-31,NA,NA,"f","r","buar",NA,"twin",NA,"2015-11-23","2016-07-12","l","4","rmki",NA,"",34.3,1045,NA,NA,47.6,71.6,1,"none",2013,"hi",1,-5.00879518072288,"Q1 (lowest)"
"16","cart","cubsub",1,76.58615443,76.59,NA,2007-06-25,2007-06-25,565,18.56,565,18.56,"subadult",2006-09-14,NA,NA,NA,"dls","double check: alive but with disappeared date",2005-12-07,NA,"talek",2006-11-12,NA,NA,"f","r","nav",NA,"single",NA,"2009-06-16","2010-11-19","l","4","lak","yosh","",42.3,1287,NA,NA,132.8,156.8,12,"none",2005,"med",1,0.711204819277114,"Q3"
"17","cash","cubsub",1,80.3415481,80.34,NA,2004-01-26,2004-01-26,344,11.3,344,11.3,"cub",2003-10-03,NA,NA,NA,"dls","double check: alive but with disappeared date",2003-02-16,NA,"mara.river",NA,NA,NA,"f","r","chip",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.5,190.5,2,"none",2003,"low",0,4.46120481927711,"Q5"
"18","chac","cubsub",1,76.43072896,76.43,NA,2000-07-15,2000-07-15,192,6.31,192,6.31,"cub",NA,NA,NA,2003-01-02,"dls","fate unknown",2000-01-05,NA,"mara.river",NA,NA,NA,"f","r","mlt?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,1093,203.9,227.9,1,"none",2000,"low",0,0.551204819277118,"Q3"
"19","chco","cubsub",1,77.62252074,77.62,NA,2015-01-20,2015-01-20,728,23.92,728,23.92,"subadult",2013-12-26,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-22,NA,"talek",2013-11-17,NA,NA,"f","r","ffl",NA,NA,NA,"2015-11-01","2016-04-09","l","4","lotu",NA,"lotu missing from weaning table - cub died < 1yr",33.3,1013,NA,NA,47.3,71.3,1,"none",2013,"hi",1,1.74120481927712,"Q4"
"20","chw","cubsub",1,75.55955293,75.56,NA,2000-06-17,2000-06-17,456,14.98,456,14.98,"subadult",1999-09-24,NA,NA,2013-07-25,"dls","inferred dead",1999-03-19,NA,"talek",2000-02-28,NA,NA,"f","r","sein","bp","single",NA,"2002-11-08","2003-01-19","l","4","sipi",NA,"sipi missing from weaning table - cub died < 1yr",43.7,1330,172.2,5242,213.5,237.5,3,"none",1999,"low",1,-0.318795180722887,"Q2"
"21","cnti","cubsub",1,76.33740504,76.34,NA,2003-07-11,2003-07-11,422,13.86,422,13.86,"subadult",2003-04-09,NA,NA,2011-05-30,"dls","inferred dead",2002-05-15,NA,"talek",2003-09-08,NA,NA,"f","r","hml",NA,"twin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.5,3302,175.6,199.6,5,"none",2002,"med",0,0.461204819277114,"Q3"
"22","csn","cubsub",1,77.45718877,77.46,NA,1999-01-29,1999-01-29,348,11.43,348,11.43,"cub",1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,"f","r","bsh","fn","single",NA,"2000-12-16","2001-06-15","l","4","ktn",NA,"",34,1035,86.5,2634,226.5,250.5,2,"none",1998,"low",1,1.5812048192771,"Q4"
"23","decm","cubsub",1,74.78748161,74.79,NA,2014-07-12,2014-07-12,546,17.94,546,17.94,"subadult",2013-08-08,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-12,NA,"talek",2013-10-31,NA,NA,"f","r","buar",NA,"twin",NA,"2015-06-21","2016-07-11","l","4","hemi","hito","",29.2,890,NA,NA,47.6,71.6,1,"none",2013,"hi",1,-1.08879518072288,"Q2"
"24","dion","cubsub",1,72.0611318,72.06,NA,2011-06-19,2011-06-19,684,22.47,684,22.47,"subadult",2010-03-26,NA,NA,2012-03-20,"dls","inferred dead",2009-08-04,NA,"talek",2010-07-30,NA,NA,"f","r","mrph",NA,"single",NA,"2011-10-15","2012-03-20","l","4","link","navi","",26.3,802,31.5,959,88.9,112.9,8,"migration",2009,"hi",1,-3.81879518072289,"Q1 (lowest)"
"25","dra","cubsub",1,77.30325921,77.3,NA,2009-07-03,2009-07-03,596,19.58,596,19.58,"subadult",2008-07-10,NA,NA,2012-06-12,"dead","car",2007-11-15,NA,"talek",2008-12-03,NA,NA,"f","r","ali",NA,"twin",1,"2011-10-17","2012-06-12","l","4","fxtr","echo","",47,1432,54.9,1671,109.6,133.5,11,"none",2007,"med",1,1.42120481927711,"Q4"
"26","ein","cubsub",1,78.3918916,78.39,NA,2007-06-24,2007-06-24,420,13.8,420,13.8,"subadult",NA,NA,NA,NA,"dls","double check: alive but with disappeared date",2006-04-30,NA,"fig.tree",NA,NA,NA,"f","r","bel",NA,"twin",NA,"2010-10-10",NA,"l","4","gnus","wale","gnus, wale, eva missing from weaning table - no early death",53.4,1624,NA,NA,128.1,152.1,4,"none",2006,"med",1,2.51120481927711,"Q5"
"27","ffl","cubsub",1,72.39787814,72.4,NA,2004-05-03,2004-05-03,310,10.18,310,10.18,"cub",2004-04-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2003-06-28,NA,"talek",2004-06-23,NA,NA,"f","r","mp",NA,"twin",1,"2007-03-02","2007-10-18","l","4","ok",NA,"",44.1,1343,NA,NA,162.2,186.1,6,"migration",2003,"med",1,-3.47879518072288,"Q1 (lowest)"
"28","fxtr","cubsub",1,76.96308791,76.96,NA,2013-05-08,2013-05-08,570,18.73,570,18.73,"subadult",2012-06-05,NA,NA,2016-05-09,"dls","inferred dead",2011-10-16,NA,"talek",2012-06-10,NA,NA,"f","r","dra",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,1667,62.5,86.5,10,"migration",2011,"hi",0,1.0812048192771,"Q4"
"29","gala","cubsub",1,76.4358169,76.44,NA,2013-09-04,2013-09-04,607,19.94,607,19.94,"subadult",2012-09-15,NA,NA,2014-04-12,"dead","humans (poison - april 2014)",2012-01-06,NA,"talek",2012-07-17,NA,NA,"f","r","hel",NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,827,59.9,83.8,1,"none",2012,"hi",0,0.561204819277108,"Q3"
"30","ge","cubsub",1,77.5568791,77.56,NA,2011-07-06,2011-07-06,558,18.33,558,18.33,"subadult",2010-07-08,NA,NA,2012-07-14,"dls","inferred dead",2009-12-25,NA,"talek",2011-01-03,NA,NA,"f","r","adon",NA,"twin",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,932,84.2,108.2,12,"none",2009,"hi",0,1.68120481927711,"Q4"
"31","gel","cubsub",2,74.88010249,74.4,0.68,2009-09-13,2010-07-29,251,8.25,410,13.49,"cub",2009-07-30,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-01-05,NA,"talek",2010-01-27,NA,NA,"f","r","guci",NA,"twin",2,"2013-09-11","2014-08-05","l","4","tast",NA,"",56.2,1710,NA,NA,95.9,119.8,1,"none",2009,"hi",1,-1.47879518072288,"Q2"
"32","gofa","cubsub",1,71.77965346,71.78,NA,2015-05-04,2015-05-04,512,16.82,512,16.82,"subadult",2014-07-07,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-12-08,NA,"talek",2014-07-06,NA,NA,"f","r","bora",NA,"twin",1,"2017-05-24",NA,"l","4","lag","arti","lag, arti missing from weaning table - no early death",41.5,1263,NA,NA,36.8,60.8,12,"none",2013,"hi",1,-4.09879518072289,"Q1 (lowest)"
"33","goof","cubsub",1,75.84885581,75.85,NA,2014-09-19,2014-09-19,676,22.21,676,22.21,"subadult",NA,NA,NA,NA,NA,NA,2012-11-12,NA,"talek.w",2013-10-24,"error",NA,"f","r","juno",NA,NA,NA,"2014-12-12","2015-08-27","l","4","oldy",NA,"",25,760,NA,NA,49.6,73.6,11,"none",2012,"hi",1,-0.028795180722895,"Q2"
"34","guci","cubsub",1,75.6006363,75.6,NA,2004-11-22,2004-11-22,291,9.56,291,9.56,"cub",2004-09-01,NA,NA,2012-01-24,"dls","unk",2004-02-05,NA,"talek",2005-05-14,NA,NA,"f","r","zc",NA,"single",NA,"2006-12-02","2007-12-09","l","4","rav",NA,"",33.9,1031,95.6,2910,154.9,178.8,2,"none",2004,"med",1,-0.278795180722895,"Q2"
"35","gui","cubsub",1,76.84060421,76.84,NA,2000-07-12,2000-07-12,516,16.95,516,16.95,"subadult",1999-10-28,NA,NA,2003-02-14,"dead","humans",1999-02-12,NA,"talek",2000-02-22,NA,NA,"f","r","amar","chas","twin",1,"2002-08-26","2003-02-16","l","4","dqi",NA,"",42.4,1291,48.1,1463,214.6,238.6,2,"none",1999,"low",1,0.961204819277114,"Q3"
"36","hem","cubsub",1,68.47572888,68.48,NA,1998-11-30,1998-11-30,430,14.13,430,14.13,"subadult",1998-07-07,NA,NA,2006-12-22,"dls","inferred dead",1997-09-26,NA,"talek",1998-08-10,NA,NA,"f","r","who","fa","twin",1,"2001-08-13","2002-07-21","l","4","cnet",NA,"",46.6,1417,110.8,3374,231.2,255.2,9,"migration",1997,"low",1,-7.39879518072289,"Q1 (lowest)"
"37","hob","cubsub",1,69.47061164,69.47,NA,1992-06-14,1992-06-14,330,10.84,330,10.84,"cub",1992-04-07,NA,NA,1999-05-06,"dls","inferred dead",1991-07-20,NA,"talek",1992-10-01,NA,NA,"f","r","es","int","twin",2,"1994-12-29","1994-12-30","l","4","kerm",NA,"kerm missing from weaning table - cub died < 1yr",41.3,1258,93.5,2847,305.4,329.4,7,"migration",1991,"low",1,-6.40879518072289,"Q1 (lowest)"
"38","hon","cubsub",1,76.59828236,76.6,NA,2009-07-12,2009-07-12,450,14.78,450,14.78,"subadult",2008-12-03,NA,NA,2014-04-03,"dead","poison (april 2014 incident)",2008-04-18,NA,"talek",2009-04-15,"error",NA,"f","r","mp",NA,"twin",2,"2012-10-14","2013-10-01","l","4","hgrd",NA,"",53.9,1640,71.5,2176,104.5,128.4,4,"none",2008,"med",1,0.721204819277105,"Q3"
"39","hoo","cubsub",1,77.11971609,77.12,NA,2000-04-29,2000-04-29,379,12.45,379,12.45,"subadult",1999-11-28,NA,NA,2001-12-16,"dls","inferred dead",1999-04-16,NA,"talek",2000-06-03,NA,NA,"f","r","nav","chas","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,975,212.5,236.5,4,"none",1999,"low",0,1.24120481927712,"Q4"
"40","hrp","cubsub",1,77.27004396,77.27,NA,2001-06-05,2001-06-05,345,11.33,345,11.33,"cub",2001-03-18,NA,NA,2006-01-06,"dls","inferred dead",2000-06-25,NA,"talek",2001-07-15,NA,NA,"f","r","amar",NA,"twin",2,"2005-06-02","2005-07-20","l","4","capn","lky","capn, lky missing from weaning table - mom or cub died < 1yr",59.2,1803,66.4,2021,198.2,222.2,6,"migration",2000,"med",1,1.39120481927711,"Q4"
"41","juno","cubsub",1,70.72102091,70.72,NA,2009-07-18,2009-07-18,454,14.91,454,14.91,"subadult",2009-01-28,NA,NA,NA,"dls","double check: alive but with disappeared date",2008-04-20,NA,"talek",2009-02-24,NA,NA,"f","r","mrph",NA,"twin",1,"2010-03-07","2010-10-04","l","4","gus",NA,"",22.5,686,NA,NA,104.4,128.4,4,"none",2008,"med",1,-5.15879518072289,"Q1 (lowest)"
"42","keng","cubsub",1,74.29120809,74.29,NA,2015-05-05,2015-05-05,414,13.6,414,13.6,"subadult",2014-11-12,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-03-17,NA,"talek",2014-12-18,NA,NA,"f","r","aqua",NA,"twin",2,"2017-02-07",NA,"l","4","kpop",NA,"kpop missing from weaning table - no early death",34.8,1058,NA,NA,33.5,57.5,3,"none",2014,"hi",1,-1.58879518072288,"Q2"
"43","kier","cubsub",1,72.62004786,72.62,NA,2001-11-07,2001-11-07,317,10.41,317,10.41,"cub",2001-11-03,NA,NA,2005-06-03,"dls","speared",2000-12-25,NA,"talek",2002-04-07,NA,NA,"f","r","mali",NA,"twin",2,"2004-11-02","2005-06-03","l","4","ptn",NA,"",46.3,1408,53.3,1621,192.2,216.2,12,"none",2000,"med",1,-3.25879518072288,"Q1 (lowest)"
"44","loki","cubsub",1,75.21749914,75.22,NA,2009-09-18,2009-09-18,516,16.95,516,16.95,"subadult",2009-01-28,NA,NA,2014-04-12,"dead","humans (poison - april 2014)",2008-04-20,NA,"talek",2009-02-24,NA,NA,"f","r","mrph",NA,"twin",2,"2010-11-02","2011-08-06","l","4","alde","endr","",30.4,926,71.7,2183,104.4,128.4,4,"none",2008,"med",1,-0.65879518072289,"Q2"
"45","lugi","cubsub",1,78.21474593,78.21,NA,2014-12-08,2014-12-08,477,15.67,477,15.67,"subadult",2014-05-21,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-08-18,NA,"talek",2014-07-10,NA,NA,"f","r","cart",NA,"twin",2,"2017-08-05",NA,"l","4","moos",NA,"moos missing from weaning table - no early death",47.6,1448,NA,NA,40.5,64.5,8,"migration",2013,"hi",1,2.3312048192771,"Q5"
"46","lust","cubsub",1,75.00948972,75.01,NA,2013-03-14,2013-03-14,555,18.23,555,18.23,"subadult",2012-07-07,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-09-06,NA,"talek",2012-06-10,NA,NA,"f","r","arg",NA,"twin",2,"2015-01-30","2015-08-22","l","4","tndr",NA,"",40.8,1242,NA,NA,63.9,87.8,9,"migration",2011,"hi",1,-0.868795180722884,"Q2"
"47","lyco","cubsub",1,78.00799988,78.01,NA,2015-03-01,2015-03-01,705,23.16,705,23.16,"subadult",2014-02-27,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-03-26,NA,"talek",2013-08-19,NA,NA,"f","r","bab",NA,"twin",NA,"2017-02-01",NA,"l","4","guav","clem","guav, clem missing from weaning table - no early death",46.3,1408,NA,NA,45.2,69.2,3,"none",2013,"hi",1,2.13120481927712,"Q5"
"48","maa","cubsub",1,79.17263364,79.17,NA,2014-07-30,2014-07-30,656,21.55,656,21.55,"subadult",2013-07-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-10-12,NA,"talek",2013-09-16,NA,NA,"f","r","art",NA,NA,NA,"2015-03-01","2015-10-20","l","4","flil","hibi","",28.6,870,NA,NA,50.7,74.6,10,"migration",2012,"hi",1,3.29120481927711,"Q5"
"49","mac","cubsub",1,75.86999431,75.87,NA,2002-06-26,2002-06-26,320,10.51,320,10.51,"cub",NA,NA,NA,NA,NA,"poison?",2001-08-10,NA,"talek",2002-10-05,NA,NA,"f","r","ger",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.7,208.7,8,"migration",2001,"med",0,-0.00879518072288477,"Q2"
"50","merl","cubsub",1,79.03663998,79.04,NA,2014-08-04,2014-08-04,379,12.45,379,12.45,"subadult",2014-04-23,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-21,NA,"talek",2014-05-26,NA,NA,"f","r","hex",NA,"twin",NA,"2016-11-01","2017-07-16","l","4","pip","ptri","",39.4,1199,NA,NA,41.4,65.4,7,"migration",2013,"hi",1,3.16120481927712,"Q5"
"51","mono","cubsub",1,75.15571488,75.16,NA,2009-07-06,2009-07-06,349,11.47,349,11.47,"cub",2009-04-18,NA,NA,2013-03-15,"dls","humans (snare?)",2008-07-22,NA,"talek",2009-08-20,NA,NA,"f","r","adon",NA,"twin",1,"2011-09-26","2012-09-20","l","4","bnt",NA,"",38.1,1161,55.7,1697,101.3,125.3,7,"migration",2008,"med",1,-0.718795180722893,"Q2"
"52","msl","cubsub",1,76.21226503,76.21,NA,2007-06-15,2007-06-15,557,18.3,557,18.3,"subadult",2006-09-02,NA,NA,2011-02-01,"dls","inferred dead",2005-12-05,NA,"talek",2006-11-13,NA,NA,"f","r","mp",NA,"twin",1,"2009-07-26","2009-08-24","l","4","phtm",NA,"phtm missing from weaning table - cub died < 1yr",43.7,1329,61.9,1884,132.9,156.9,12,"none",2005,"med",1,0.331204819277104,"Q3"
"53","mt","cubsub",1,75.94035186,75.94,NA,2011-06-24,2011-06-24,546,17.94,546,17.94,"subadult",2010-08-03,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2009-12-25,NA,"talek",2011-01-03,NA,NA,"f","r","adon",NA,"twin",1,"2013-07-28","2014-03-26","l","4","ewar",NA,"",43.1,1311,51.5,1569,84.2,108.2,12,"none",2009,"hi",1,0.0612048192771084,"Q3"
"54","neon","cubsub",1,77.06609372,77.07,NA,2012-06-15,2012-06-15,537,17.64,537,17.64,"subadult",2011-11-18,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-12-26,NA,"talek",2011-12-05,NA,NA,"f","r","yog",NA,"single",NA,"2014-03-24","2014-11-06","l","4","gng",NA,"",38.9,1184,NA,NA,72.2,96.2,12,"none",2010,"hi",1,1.1912048192771,"Q4"
"55","obam","cubsub",1,78.5936883,78.59,NA,2009-11-15,2009-11-15,367,12.06,367,12.06,"subadult",2009-07-16,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2008-11-13,NA,"talek",NA,NA,NA,"f","r","nav",NA,"twin",2,"2011-11-20","2012-01-27","l","4","acia",NA,"acia missing from weaning table - cub died < 1yr",36.2,1102,64.9,1976,97.6,121.6,11,"none",2008,"med",1,2.71120481927711,"Q5"
"56","odd","cubsub",1,75.55196054,75.55,NA,2013-06-25,2013-06-25,539,17.71,539,17.71,"subadult",2012-09-14,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-01-03,NA,"talek",2013-04-13,"error",NA,"f","r","mgta",NA,"twin",1,"2015-08-03","2016-11-20","l","4","tena",NA,"",43,1308,NA,NA,60,83.9,1,"none",2012,"hi",1,-0.328795180722892,"Q2"
"57","oke","cubsub",1,76.04700079,76.05,NA,1999-03-04,1999-03-04,465,15.28,465,15.28,"subadult",1998-08-06,NA,NA,2003-01-31,"dead","humans",1997-11-24,NA,"talek",1999-03-13,NA,NA,"f","r","hg","mer","twin",1,"2001-01-06","2002-05-25","l","4","jup","mrs","",37.4,1139,62.2,1894,229.2,253.2,11,"none",1997,"low",1,0.171204819277108,"Q3"
"58","parc","cubsub",1,77.14083041,77.14,NA,2009-07-20,2009-07-20,363,11.93,363,11.93,"cub",2009-05-04,NA,NA,NA,"dls","double check: alive but with disappeared date",2008-07-22,NA,"talek",2009-07-18,NA,NA,"f","r","adon",NA,"twin",2,"2011-11-26","2012-05-15","l","4","hoth",NA,"hoth missing from weaning table - cub died < 1yr",40.1,1222,NA,NA,101.3,125.3,7,"migration",2008,"med",1,1.26120481927711,"Q4"
"59","pbut","cubsub",1,74.37419531,74.37,NA,2014-06-08,2014-06-08,339,11.14,339,11.14,"cub",2014-04-30,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-04,NA,"talek",2014-02-15,NA,NA,"f","r","parc",NA,"twin",1,"2015-12-30","2016-09-26","l","4","mvua","hail","",29.9,909,NA,NA,42,65.9,7,"migration",2013,"hi",1,-1.50879518072288,"Q2"
"60","pces","cubsub",1,77.78915356,77.79,NA,2015-08-09,2015-08-09,615,20.2,615,20.2,"subadult",2014-11-05,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-12-02,NA,"talek",2014-12-08,NA,NA,"f","r","twst",NA,"twin",1,"2016-12-28",NA,"l","4","misu",NA,"misu missing from weaning table - no early death",36.9,1122,NA,NA,37,61,12,"none",2013,"hi",1,1.91120481927712,"Q4"
"61","puc","cubsub",1,68.82898999,68.83,NA,1998-03-14,1998-03-14,286,9.4,286,9.4,"cub",1998-01-21,NA,NA,2006-12-23,"dls","inferred dead",1997-06-01,NA,"talek",1998-08-11,NA,NA,"f","r","ger","fn","twin",1,"2000-07-07","2001-08-18","l","4","tang","sals","",37.2,1132,114.7,3492,235,259,6,"migration",1997,"low",1,-7.04879518072289,"Q1 (lowest)"
"62","rama","cubsub",1,73.29846898,73.3,NA,2014-07-07,2014-07-07,545,17.9,545,17.9,"subadult",2013-09-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-08,NA,"serena.n",2014-04-07,NA,NA,"f","r","tnsl",NA,"single",NA,"2015-12-18","2016-04-16","l","4","twnk","opie","twnk, opie missing from weaning table - cub died < 1yr",35.3,1074,NA,NA,47.8,71.7,1,"none",2013,"low",1,-2.57879518072289,"Q1 (lowest)"
