"","id","session","note.quality","food.present","no.intx.yes.no","tbl.lion.hyena.sessions.notes","session.error.notes","hy.id","time","order","behavior","target","distance","leader","food","tbl.lion.hyena.individual.behaviors.notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","rank.clan","rank","stan.rank","age.mon.lion","age.cat.lion","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist","diagnosis.time","toxo.status"
"22",1167,"t11259",3,FALSE,FALSE,"when arr at den, only hyenas present","maz should be listed in ids present, making the n id hyenas 13.","wash",06:54:00,2,"dist",NA,100,FALSE,NA,NA,"talek","d",1997-03-08,"06:23:00","07:24:00",1997,1,"m","r","nav","mike","1","2",1997-06-29,NA,NA,1997-08-27,"dead","humans",1996-10-23,NA,"talek",NA,"dbw",NA,NA,NA,NA,4.5,"cub","negative",1997-06-30,8.2,"cub","low_tk","before","0"
"23",1810,"t11259",3,FALSE,FALSE,"when arr at den, only hyenas present","maz should be listed in ids present, making the n id hyenas 13.","linc",06:54:00,2,"dist",NA,100,FALSE,NA,NA,"talek","d",1997-03-08,"06:23:00","07:24:00",1997,1,"m","r","nav","mike","1","1",1997-06-29,NA,NA,NA,NA,NA,1996-10-23,NA,"talek",1997-11-10,NA,NA,NA,NA,NA,4.5,"cub","negative",1997-06-30,8.2,"cub","low_tk","before","0"
"24",1821,"t11259",3,FALSE,FALSE,"when arr at den, only hyenas present","maz should be listed in ids present, making the n id hyenas 13.","jj",07:06:00,1,"scan",NA,150,FALSE,NA,NA,"talek","d",1997-03-08,"06:23:00","07:24:00",1997,1,"f","r","dj","zip","1","2",1993-03-29,NA,NA,2003-01-24,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,"talek",13,0.142857142857143,53.7,"adult","positive",1993-08-12,10.9,"cub","low_tk","after","1"
"25",10152,"t1140",2,TRUE,FALSE,"lions killed an adult gnu. fas on sher 0644-0713. fas on dave 0811-0928. notes not very clear. 2nd carc is fresh. don<U+2019>t know how many lions present","gw and bo not present?","sy",07:33:00,2,"dist",NA,40,FALSE,NA,NA,"talek","k",1990-08-02,"06:43:00","09:28:00",1990,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"doubtful",1990-12-19,NA,"adult","low_tk","before","0"
"26",8544,"t11408",2,TRUE,FALSE,"incomplete ci's. baby giraffe carcass. 2 male lions (from star trek crew) fd carcass when arr, and hyenas 80m - carcass and lions. es? (1 of unid's) is fat.","1 of the unid's is es?, not necessarily an alien. the other two are never specified as aliens, but merely written as ""unid1"" and ""unid2."" it is written in red that these 2 are alien males, but no idea how whoever wrote this could have known thus","zulu",06:23:00,1,"scan",NA,80,FALSE,NA,"scan","talek","k",1997-04-27,"06:23:00","07:04:00",1997,2,"m","r","pt",NA,"1","2",1995-01-28,NA,NA,1997-08-31,"dead","lions",1994-05-01,NA,"talek",1995-08-20,NA,NA,NA,NA,NA,35.9,"adult","positive",1995-02-10,9.4,"cub","low_tk","after","1"
"27",8545,"t11408",2,TRUE,FALSE,"incomplete ci's. baby giraffe carcass. 2 male lions (from star trek crew) fd carcass when arr, and hyenas 80m - carcass and lions. es? (1 of unid's) is fat.","1 of the unid's is es?, not necessarily an alien. the other two are never specified as aliens, but merely written as ""unid1"" and ""unid2."" it is written in red that these 2 are alien males, but no idea how whoever wrote this could have known thus","jj",06:23:00,1,"scan",NA,80,FALSE,NA,"scan","talek","k",1997-04-27,"06:23:00","07:04:00",1997,2,"f","r","dj","zip","1","2",1993-03-29,NA,NA,2003-01-24,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,"talek",13,0.142857142857143,55.4,"adult","positive",1993-08-12,10.9,"cub","low_tk","after","1"
"28",1512,"t11417.2",3,TRUE,FALSE,"frsh ad zeb carc.mybe zeb was pregnt(mention ""jab takes zebra foal"" 0643 in previous sess).in cis.hys fd carc(they hv bn fding since 0640, when obs arrvd in previous sess, 11417)when ln arr 150m - carc by some fisi, so obs go there. no 1 mentioned as bldy","mp should be included in id's present (0759), and therefore there should be 19 id hyenas. also, lioness mentioned leaving in following session after obs ret carcass (11417.3 at 0819), so maybe should add a lioness to that session. no intx that sess though","sim",07:47:00,2,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1996-07-28,NA,"adult","low_tk","after","1"
"29",1517,"t11417.2",3,TRUE,FALSE,"frsh ad zeb carc.mybe zeb was pregnt(mention ""jab takes zebra foal"" 0643 in previous sess).in cis.hys fd carc(they hv bn fding since 0640, when obs arrvd in previous sess, 11417)when ln arr 150m - carc by some fisi, so obs go there. no 1 mentioned as bldy","mp should be included in id's present (0759), and therefore there should be 19 id hyenas. also, lioness mentioned leaving in following session after obs ret carcass (11417.3 at 0819), so maybe should add a lioness to that session. no intx that sess though","ua",07:47:00,7,"scan",NA,20,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","79",NA,"0","1",NA,NA,NA,2001-05-05,"dls","lions",1987-03-01,NA,"talek",1988-08-19,NA,NA,"talek",19,-0.285714285714286,122,"adult","positive",1994-06-26,87.8,"adult","low_tk","after","1"
"30",1521,"t11417.2",3,TRUE,FALSE,"frsh ad zeb carc.mybe zeb was pregnt(mention ""jab takes zebra foal"" 0643 in previous sess).in cis.hys fd carc(they hv bn fding since 0640, when obs arrvd in previous sess, 11417)when ln arr 150m - carc by some fisi, so obs go there. no 1 mentioned as bldy","mp should be included in id's present (0759), and therefore there should be 19 id hyenas. also, lioness mentioned leaving in following session after obs ret carcass (11417.3 at 0819), so maybe should add a lioness to that session. no intx that sess though","par",07:51:00,1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","gw","rcn","0",NA,1994-04-03,NA,NA,2004-02-10,"dls","inferred dead",1993-07-15,NA,"talek",NA,NA,NA,"talek",25,-0.714285714285714,45.5,"adult","positive",1994-06-23,11.3,"cub","low_tk","after","1"
"31",1522,"t11417.2",3,TRUE,FALSE,"frsh ad zeb carc.mybe zeb was pregnt(mention ""jab takes zebra foal"" 0643 in previous sess).in cis.hys fd carc(they hv bn fding since 0640, when obs arrvd in previous sess, 11417)when ln arr 150m - carc by some fisi, so obs go there. no 1 mentioned as bldy","mp should be included in id's present (0759), and therefore there should be 19 id hyenas. also, lioness mentioned leaving in following session after obs ret carcass (11417.3 at 0819), so maybe should add a lioness to that session. no intx that sess though","jj",07:51:00,1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"f","r","dj","zip","1","2",1993-03-29,NA,NA,2003-01-24,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,"talek",13,0.142857142857143,55.5,"adult","positive",1993-08-12,10.9,"cub","low_tk","after","1"
"32",1526,"t11417.2",3,TRUE,FALSE,"frsh ad zeb carc.mybe zeb was pregnt(mention ""jab takes zebra foal"" 0643 in previous sess).in cis.hys fd carc(they hv bn fding since 0640, when obs arrvd in previous sess, 11417)when ln arr 150m - carc by some fisi, so obs go there. no 1 mentioned as bldy","mp should be included in id's present (0759), and therefore there should be 19 id hyenas. also, lioness mentioned leaving in following session after obs ret carcass (11417.3 at 0819), so maybe should add a lioness to that session. no intx that sess though","jb",07:56:00,1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"f","r","bsh","fn","1","1",1994-03-22,NA,NA,1997-12-03,"dls","inferred dead",1993-06-26,NA,"talek",1994-02-17,NA,NA,"talek",3,0.857142857142857,46.1,"adult","positive",1994-07-04,12.3,"subadult","low_tk","after","1"
"33",1530,"t11417.2",3,TRUE,FALSE,"frsh ad zeb carc.mybe zeb was pregnt(mention ""jab takes zebra foal"" 0643 in previous sess).in cis.hys fd carc(they hv bn fding since 0640, when obs arrvd in previous sess, 11417)when ln arr 150m - carc by some fisi, so obs go there. no 1 mentioned as bldy","mp should be included in id's present (0759), and therefore there should be 19 id hyenas. also, lioness mentioned leaving in following session after obs ret carcass (11417.3 at 0819), so maybe should add a lioness to that session. no intx that sess though","sx",07:59:00,2,"scan",NA,30,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",16,-0.0714285714285714,90.5,"adult","positive",1990-12-28,14.5,"subadult","low_tk","after","1"
"34",13226,"t11588",3,FALSE,TRUE,"jab just so 50m - lions (so)","i am not sure these male lions should be called adults. they are called adults in this session, but it also says they are the same lions as in session 11587.4, where it is noted that they are just beginning to grow manes. i would call them subadults","jab",07:59:00,0,"scan","lion",50,FALSE,NA,NA,"talek","o",1997-05-21,"07:59:00","08:04:00",1997,1,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,"talek",8,0.5,63.6,"adult","positive",1992-12-08,10.2,"cub","low_tk","after","1"
"35",2962,"t11751",3,FALSE,FALSE,"lions here at start: 1 sub male lion sit, 1 sub male lion st/lk, 1 adult female lion wlk - nw 150m - male sub lions. hyenas (2 st/lk, 1 wlk) 50m - sub male lions","these male lions are maneless, and thus are subadults","fn",07:09:00,1,"scan",NA,30,FALSE,NA,NA,"talek","m",1997-06-06,"06:55:00","07:09:00",1997,3,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1991-07-11,NA,"adult","low_tk","after","1"
"36",7004,"t11891",2,TRUE,FALSE,"food present = zebra skull. 300m away is a zebra kill, which obs think the talek clan killed (couple fat, bldy hyenas in previous kill session). lion fd zebra skull 40m - hyenas. zulu very bloody. fn fat. incompl ci's (bushes). lion abandons food",NA,"zulu",06:43:00,1,"scan",NA,40,FALSE,NA,NA,"talek","k",1997-06-13,"06:43:00","07:30:00",1997,1,"m","r","pt",NA,"1","2",1995-01-28,NA,NA,1997-08-31,"dead","lions",1994-05-01,NA,"talek",1995-08-20,NA,NA,NA,NA,NA,37.4,"adult","positive",1995-02-10,9.4,"cub","low_tk","after","1"
"37",7007,"t11891",2,TRUE,FALSE,"food present = zebra skull. 300m away is a zebra kill, which obs think the talek clan killed (couple fat, bldy hyenas in previous kill session). lion fd zebra skull 40m - hyenas. zulu very bloody. fn fat. incompl ci's (bushes). lion abandons food",NA,"sim",06:43:00,4,"scan",NA,40,FALSE,NA,NA,"talek","k",1997-06-13,"06:43:00","07:30:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1996-07-28,NA,"adult","low_tk","after","1"
"38",7200,"t1209",2,TRUE,FALSE,"zebra carc.6 lions don<U+2019>t know age or sex only know that one is an adult lioness. hyenas fding on carc is not directly stated but they app it. hard to read notes.","missing mw, bsh is brsh and hol is holly in notes","dave",09:29:00,2,"app","carc",10,FALSE,NA,NA,"talek","k",1990-08-31,"09:00:00","09:29:00",1990,1,"m","r","27",NA,"1",NA,NA,NA,NA,NA,NA,NA,1986-09-15,NA,"talek",NA,NA,NA,NA,NA,NA,47.5,"adult","positive",1990-08-03,46.6,"adult","low_tk","after","1"
"39",6992,"t12214",2,TRUE,FALSE,"in cis until ~0630.lns ""almost certainly been there since we first arrived.""2 lrge sep patches bld & rumen, 1 v close to 2 m lns, other ~50m-them.hys get topi horns, so has been a topi kill. think hys made kill,lns attcted once mostly eaten. #lns=minimum","context should be ""k""","fn",06:29:00,4,"scan",NA,90,FALSE,NA,NA,"talek","k",1997-07-02,"06:00:00","07:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1991-07-11,NA,"adult","low_tk","after","1"
"40",6994,"t12214",2,TRUE,FALSE,"in cis until ~0630.lns ""almost certainly been there since we first arrived.""2 lrge sep patches bld & rumen, 1 v close to 2 m lns, other ~50m-them.hys get topi horns, so has been a topi kill. think hys made kill,lns attcted once mostly eaten. #lns=minimum","context should be ""k""","stg",06:29:00,6,"scan",NA,60,FALSE,NA,NA,"talek","k",1997-07-02,"06:00:00","07:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1997-07-02,NA,"adult","low_tk","after","1"
