"","plate","spratio","diagnosis","hum.pop.den","sample","kay.code","hy.id","dart.date","sample.origin","notes.appearance","dart.year","dob.date","dob.event.data","disappear.date","disappear.event.status","disappear.event.data","sex","status","mom","dad","number.littermates","litrank","rank.dart","stan.rank.dart","toxo.status.x","age.mon.dart","dob.yr","age.cat.dart","hum.dist.dob","start.date","stop.date","lh.sessions","lh.sessions.pres","ratio.sessions.present","lh.intx","lh.intx.pres","ratio.intx.present","ratio.intx.sessions.present","toxo.status.y","id.reps.lion","min.dist.lion","max.dist.lion","avg.min.dist.lion","avg.dist.age.stndrzd","age.mon.lion","age.cat.lion.first","age.cat.lion.last","mode.age.cat.lion","diagnosis.time.first","diagnosis.time.fin","mode.fd.pres","avg.stan.rank"
"11","plate2",0.47,"doubtful","hi",5571,"781","juno",2012-05-28,"blood",NA,2012,2008-04-20,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mrph",NA,"1","1",5,0.843137254901961,"0",49.2,2008,"adult",NA,2009-01-28,2012-05-28,79,21,0.265822784810127,43,5,0.116279069767442,0.0632911392405063,"0",9,1,50,14,-0.39,28.38,"subadult","adult","adult","before","before","TRUE",NA
"12","plate2",0.43,"doubtful","hi",3752,"807","mgta",2012-04-11,"blood",NA,2012,2009-01-10,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mos",NA,"1","1",13,0.529411764705882,"0",39,2009,"adult",NA,2009-08-05,2012-04-11,67,6,0.0895522388059701,33,3,0.0909090909090909,0.0447761194029851,"0",1,1,1,1,-0.89,26.5,"adult","adult","adult","before","before","FALSE",0.54
"13","plate2",0.87,"positive","hi",7277,"808","obam",2012-06-07,"blood",NA,2012,2008-11-13,"talek",2014-04-12,"dead","poison (april 2014 incident)","f","r","nav",NA,"1","2",44,-0.686274509803922,"1",42.8,2008,"adult",NA,2012-06-07,2014-04-12,61,6,0.0983606557377049,30,2,0.0666666666666667,0.0327868852459016,"1",4,1,35,14.5,-0.39,44.95,"adult","adult","adult","after","after","TRUE",-0.69
"14","plate2",0.71,"positive","hi",12108,"813","amaz",2012-06-16,"blood","cream; normal",2012,2009-02-15,"talek",NA,"dls","double check: alive but with disappeared date","f","r","hel",NA,"1","1",4,0.882352941176471,"1",40,2009,"adult",NA,2012-06-16,2017-01-01,110,17,0.154545454545455,50,2,0.04,0.0181818181818182,"1",13,1,100,16.54,-0.32,54.71,"adult","adult","adult","after","after","TRUE",NA
"15","plate2",0.58,"positive","hi",4171,"845","buar",2012-05-26,"blood",NA,2012,2009-12-18,"talek",NA,"dls","double check: alive but with disappeared date","f","r","hel",NA,"1","2",3,0.92156862745098,"1",29.2,2009,"adult",NA,2012-05-26,2017-01-01,115,18,0.156521739130435,52,1,0.0192307692307692,0.00869565217391304,"1",11,1,40,12.55,-0.47,51.7,"adult","adult","adult","after","after","TRUE",NA
"16","plate2",0.52,"positive","hi",4154,"848","ziti",2013-06-05,"blood",NA,2013,2010-04-03,"talek",NA,"dls","double check: alive but with disappeared date","m","r","guci",NA,"1","2",NA,NA,"1",38.1,2010,"adult",NA,2013-06-05,2017-01-01,66,11,0.166666666666667,29,5,0.172413793103448,0.0757575757575758,"1",4,30,80,42.5,0.63,62.95,"adult","adult","adult","after","after","FALSE",NA
"17","plate2",0.48,"doubtful","hi",7886,"555","tnks",2014-08-08,"blood",NA,2014,2013-03-15,"talek",NA,"dls","double check: alive but with disappeared date","f","r","alfe",NA,"0",NA,NA,NA,"0",16.8,2013,"subadult","hi",2014-03-15,2014-08-08,2,0,0,2,0,0,0,"0",1,50,50,50,-0.33,9.3,"cub","cub","cub","before","before","FALSE",NA
"18","plate2",0.22,"negative","hi",4786,"627","twst",2012-05-07,"blood",NA,2012,2011-03-03,"talek",2018-03-30,"dls","double check: alive but with disappeared date","f","r","adon",NA,"0",NA,NA,NA,"0",14.2,2011,"subadult",NA,2011-11-19,2012-05-07,5,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","plate2",0.8,"positive","hi",3993,"630","alde",2012-04-30,"blood",NA,2012,2010-11-01,"talek",NA,NA,NA,"m","r","loki",NA,"1","1",NA,NA,"1",17.9,2010,"subadult",NA,2012-04-30,2013-03-21,43,5,0.116279069767442,22,1,0.0454545454545455,0.0232558139534884,"1",1,10,10,10,-0.54,23.1,"subadult","subadult","subadult","after","after","FALSE",NA
"20","plate2",0.51,"positive","hi",4791,"636","bora",2012-06-01,"blood",NA,2012,2010-12-23,"talek",2018-06-19,"dls",NA,"f","r","art",NA,"0",NA,NA,NA,"1",17.3,2010,"subadult",NA,2012-06-01,2017-01-01,114,17,0.149122807017544,52,4,0.0769230769230769,0.0350877192982456,"1",8,5,100,26.44,0.14,31.07,"subadult","adult","subadult","after","after","TRUE",NA
"21","plate2",0.89,"positive","hi",4783,"647","ted",2012-05-24,"blood",NA,2012,2010-10-30,"talek",2018-03-25,"dls","double check: alive but with disappeared date","f","r","aqua",NA,"1","2",NA,NA,"1",18.8,2010,"subadult",NA,2012-05-24,2017-01-01,115,8,0.0695652173913043,52,0,0,0,"1",3,1,15,7,-0.69,27.97,"subadult","adult","adult","after","after","FALSE",NA
"22","plate2",0.7,"positive","hi",4795,"648","endr",2012-05-25,"blood",NA,2012,2010-11-01,"talek",2014-04-03,"dead","poison (april 2014 incident)","m","r","loki",NA,"1","2",NA,NA,"1",18.8,2010,"subadult",NA,2012-05-25,2014-03-27,63,7,0.111111111111111,31,2,0.0645161290322581,0.0317460317460317,"1",2,5,15,10,-0.56,26.05,"adult","adult","adult","after","after","TRUE",NA
"23","plate2",0.49,"positive","hi",4812,"652","neon",2012-06-15,"blood",NA,2012,2010-12-26,"talek",NA,"dls","double check: alive but with disappeared date","f","r","yog",NA,"0",NA,NA,NA,"1",17.6,2010,"subadult",NA,2012-06-15,2017-01-01,111,12,0.108108108108108,51,3,0.0588235294117647,0.027027027027027,"1",8,0,65,14.12,-0.41,44.12,"subadult","adult","adult","after","after","TRUE",NA
"24","plate2",0.7,"positive","hi",3695,"658","gala",2013-09-04,"blood","white",2013,2012-01-06,"talek",2014-04-12,"dead","humans (poison - april 2014)","f","r","hel",NA,"0",NA,NA,NA,"1",19.9,2012,"subadult","hi",2013-09-04,2014-04-10,13,4,0.307692307692308,7,1,0.142857142857143,0.0769230769230769,"1",2,25,50,37.5,0.51,24.45,"subadult","adult","subadult","after","after","FALSE",1
"25","plate2",0.68,"positive","hi",10098,"659","brgr",2013-05-28,"blood","cream; normal, challenge darting - 14 min, date on vial says 6/3/15",2013,2011-10-30,"talek",NA,"dls","double check: alive but with disappeared date","f","r","cen",NA,"1","1",NA,NA,"1",18.9,2011,"subadult",NA,2013-05-28,2017-01-01,66,4,0.0606060606060606,29,0,0,0,"1",2,3,30,16.5,-0.32,38.4,"adult","adult","adult","after","after","TRUE",NA
"26","plate2",0.65,"positive","hi",6944,"660","gsmk",2013-05-24,"blood","pink",2013,2011-12-02,"talek",2013-08-17,"dls","inferred dead","f","r","sbl",NA,"1","2",NA,NA,"1",17.7,2011,"subadult",NA,2013-05-24,2013-08-17,2,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","plate2",0.88,"positive","hi",6918,"664","fxtr",2013-05-08,"blood",NA,2013,2011-10-16,"talek",2016-05-09,"dls","inferred dead","f","r","dra",NA,"1","1",NA,NA,"1",18.7,2011,"subadult",NA,2013-05-08,2016-05-09,59,3,0.0508474576271186,34,3,0.0882352941176471,0.0508474576271186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","plate2",0.67,"positive","hi",3773,"665","bata",2013-06-02,"blood",NA,2013,2011-11-16,"talek",NA,NA,NA,"m","r","hex",NA,"1","2",NA,NA,"1",18.5,2011,"subadult",NA,2013-06-02,2013-12-20,5,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","plate2",0.72,"positive","hi",6899,"676","lust",2013-03-14,"blood",NA,2013,2011-09-06,"talek",NA,"dls","double check: alive but with disappeared date","f","r","arg",NA,"1","2",NA,NA,"1",18.2,2011,"subadult",NA,2013-03-14,2017-01-01,77,10,0.12987012987013,35,3,0.0857142857142857,0.038961038961039,"1",5,3,40,18.6,-0.2,43.14,"subadult","adult","adult","after","after","TRUE",NA
"30","plate2",0.55,"positive","hi",6965,"688","xena",2013-05-05,"blood",NA,2013,2011-11-25,"talek",2014-11-12,"dls",NA,"m","r","loki",NA,"0",NA,NA,NA,"1",17.3,2011,"subadult",NA,2013-05-05,2014-11-03,31,4,0.129032258064516,21,3,0.142857142857143,0.0967741935483871,"1",1,25,25,25,0.11,17.4,"subadult","subadult","subadult","after","after","TRUE",NA
"31","plate2",0.39,"negative","hi",3779,"690","bnt",2013-05-07,"blood",NA,2013,2011-09-25,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mono",NA,"0",NA,NA,NA,"0",19.4,2011,"subadult",NA,2012-07-21,2013-05-07,21,1,0.0476190476190476,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","plate2",0.5,"positive","hi",3765,"837","zion",2012-06-18,"blood",NA,2012,2010-02-19,"talek",2013-05-06,"dls","inferred dead","f","r","sbl",NA,"1","2",23,0.137254901960784,"1",27.9,2010,"adult",NA,2012-06-18,2013-05-06,32,7,0.21875,14,0,0,0,"1",2,15,60,37.5,0.44,32.5,"adult","adult","adult","after","after","FALSE",0.14
"33","plate2",0.32,"negative","hi",5179,"842","hrpy",2012-05-24,"blood",NA,2012,2009-10-29,"talek",2018-02-27,"dls",NA,"f","r","pan",NA,NA,NA,9,0.686274509803922,"0",30.8,2009,"adult",NA,2010-05-22,2012-05-24,34,4,0.117647058823529,16,1,0.0625,0.0294117647058824,"0",3,1,20,9.33,-0.6,22.9,"subadult","adult","subadult","before","before","TRUE",NA
"34","plate2",0.71,"positive","low",7845,"1008","pike",2015-05-17,"blood",NA,2015,2007-10-30,"happy.zebra",NA,"dls","fate unknown","f","r","koi",NA,NA,NA,NA,NA,"1",90.5,2007,"adult","low",2015-05-17,2017-01-01,11,3,0.272727272727273,7,1,0.142857142857143,0.0909090909090909,"1",2,3,20,11.5,-0.5,107.4,"adult","adult","adult","after","after","FALSE",NA
"35","plate2",0.64,"positive","low",7799,"1156","ring",2015-01-29,"blood",NA,2015,2009-11-30,"happy.zebra",2017-05-29,"dls","fate unknown","f","r","ao",NA,"1","1",NA,NA,"1",62,2009,"adult","low",2015-01-29,2017-05-29,29,7,0.241379310344828,16,4,0.25,0.137931034482759,"1",1,10,10,10,-0.56,65.9,"adult","adult","adult","after","after","TRUE",NA
"36","plate2",0.9,"positive","low",7814,"1166","csby",2015-03-10,"blood",NA,2015,2007-12-30,"happy.zebra",NA,"dls","fate unknown","f","r","spb",NA,NA,NA,NA,NA,"1",86.3,2007,"adult","low",2015-03-10,2017-01-01,24,5,0.208333333333333,13,1,0.0769230769230769,0.0416666666666667,"1",2,10,15,12.5,-0.47,95.95,"adult","adult","adult","after","after","TRUE",NA
"37","plate2",0.46,"doubtful","low",4039,"1005","zoey",2012-06-22,"blood","p frozen on side",2012,2008-10-31,"serena.n",2013-03-26,"dls",NA,"f","r","digs",NA,"1",NA,5,0.578947368421053,"0",43.7,2008,"adult","low",2009-10-31,2012-06-22,18,2,0.111111111111111,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","plate2",0.68,"positive","low",4035,"1015","peep",2012-06-30,"blood",NA,2012,NA,"serena.n",2013-01-24,"dls",NA,"f","r",NA,NA,NA,NA,3,0.789473684210526,"1",NA,NA,"adult","low",2012-06-30,2017-01-01,37,0,0,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","plate2",0.52,"positive","low",4042,"1020","tnsl",2012-06-19,"blood","p frozen on side",2012,NA,"serena.n",2014-06-12,"dls","fate unknown","f","r","elf?",NA,NA,NA,15,-0.473684210526316,"1",NA,NA,"adult","low",2012-06-19,2014-06-12,22,5,0.227272727272727,13,0,0,0,"1",2,25,100,62.5,1.36,NA,"adult","adult","adult","after","after","TRUE",-0.43
"40","plate2",0.39,"doubtful","low",12107,"1022","wafl",2012-07-02,"blood","cream; normal, tube says ""hep. plasma 1 ml""",2012,2007-08-01,"serena.n",NA,NA,NA,"f","r",NA,NA,NA,NA,1,1,"0",59,2007,"adult","low",2008-10-29,2012-07-02,24,1,0.0416666666666667,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","plate2",0.58,"positive","low",12112,"1036","ema",2012-07-07,"blood","cream; normal",2012,NA,"serena.n",2016-03-13,"dls","fate unknown","f","r",NA,NA,NA,NA,16,-0.578947368421053,"1",NA,NA,"adult","low",2012-07-07,2016-03-13,33,2,0.0606060606060606,21,1,0.0476190476190476,0.0303030303030303,"1",1,20,20,20,-0.19,NA,"adult","adult","adult","after","after","TRUE",-0.58
"42","plate2",0.51,"positive","low",3667,"1048","digs",2013-06-21,"blood","white",2013,NA,"serena.n",2015-03-31,"dead",NA,"f","r",NA,NA,NA,NA,4,0.684210526315789,"1",NA,NA,"adult","low",2013-06-21,2015-03-31,27,7,0.259259259259259,16,1,0.0625,0.037037037037037,"1",4,3,95,29,0.13,NA,"adult","adult","adult","after","after","TRUE",0.72
"43","plate2",0.53,"positive","low",6950,"1088","shrm",2013-02-08,"blood",NA,2013,NA,"serena.n",2016-10-16,"dead","unknown","f","r",NA,NA,NA,NA,6,0.473684210526316,"1",NA,NA,"adult","low",2013-02-08,2016-09-24,35,12,0.342857142857143,22,5,0.227272727272727,0.142857142857143,"1",6,5,60,32.5,0.26,NA,"adult","adult","adult","after","after","TRUE",0.55
"44","plate2",0.63,"positive","low",6999,"1095","hndy",2012-06-29,"blood",NA,2012,2008-01-01,"serena.n",2014-03-27,"dls",NA,"f","r","shrm",NA,NA,NA,11,-0.0526315789473684,"1",53.9,2008,"adult","low",2012-06-29,2017-01-01,37,1,0.027027027027027,23,0,0,0,"1",1,40,40,40,0.54,67.1,"adult","adult","adult","after","after","TRUE",0.05
"45","plate2",0.45,"doubtful","low",3613,"1096","hucn",2014-07-02,"blood","white",2014,2011-09-12,"serena.n",2014-09-24,"dls","double check: alive but with disappeared date","m","r","rbc",NA,"1","1",NA,NA,"0",33.6,2011,"adult","low",2012-07-15,2014-07-02,23,8,0.347826086956522,13,3,0.230769230769231,0.130434782608696,"0",1,1,1,1,-0.89,32,"adult","adult","adult","before","before","TRUE",NA
"46","plate2",0.62,"positive","low",13634,"1190","mchl",2015-07-16,"blood","cream; normal; says ""junk plasma 4""",2015,2012-11-17,"serena.n",2016-08-31,"dls",NA,"m","r","ele",NA,"1","1",NA,NA,"1",31.9,2012,"adult","low",2015-07-16,2017-01-01,8,1,0.125,5,1,0.2,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","plate2",0.67,"positive","low",7789,"1137","uzi",2015-03-19,"blood",NA,2015,2012-08-21,"serena.n",2016-03-11,"dls","double check: alive but with disappeared date","m","r","angi",NA,"0",NA,NA,NA,"1",30.9,2012,"adult","low",2015-03-19,2016-03-11,5,1,0.2,4,0,0,0,"1",1,30,30,30,0.17,42.4,"adult","adult","adult","after","after","TRUE",NA
"48","plate2",0.71,"positive","low",12109,"1009","slin",2012-07-22,"blood","cream; normal",2012,NA,"serena.s",2018-08-14,"dls",NA,"f","r",NA,NA,NA,NA,3,0.75,"1",NA,NA,"adult","low",2012-07-22,2017-01-01,10,2,0.2,5,0,0,0,"1",2,50,100,75,1.81,NA,"adult","adult","adult","after","after","FALSE",NA
"49","plate3",0.8,"positive","low",6917,"1013","bart",2012-08-08,"blood",NA,2012,NA,"serena.s",2014-09-14,"dls","fate unknown","f","r",NA,NA,NA,NA,4,0.625,"1",NA,NA,"adult","low",2012-08-08,2014-09-14,2,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","plate3",0.76,"positive","low",3777,"1021","mtn",2012-07-21,"blood",NA,2012,NA,"serena.s",2016-12-22,"dls",NA,"f","r",NA,NA,NA,NA,15,-0.75,"1",NA,NA,"adult","low",2012-07-21,2017-01-01,10,3,0.3,5,1,0.2,0.1,"1",2,50,50,50,0.9,NA,"adult","adult","adult","after","after","TRUE",-0.76
"51","plate3",0.46,"doubtful","low",6933,"1071","taj",2012-09-06,"blood",NA,2012,NA,"serena.s",2018-01-08,"dls","fate unknown","f","r",NA,NA,NA,NA,8,0.125,"0",NA,NA,"adult","low",2005-06-08,2012-09-06,24,6,0.25,17,4,0.235294117647059,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","plate3",0.78,"positive","low",4036,"1074","java",2013-01-10,"blood","pink",2013,NA,"serena.s",NA,"dls","fate unknown","f","r",NA,NA,NA,NA,1,1,"1",NA,NA,"adult","low",2013-01-10,2017-01-01,10,2,0.2,5,2,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","plate3",0.68,"positive","low",3780,"1092","clov",2012-06-24,"blood",NA,2012,NA,"serena.s",2016-08-24,"dls","fate unknown","f","r",NA,NA,NA,NA,2,0.875,"1",NA,NA,"adult","low",2012-06-24,2016-08-24,10,2,0.2,5,1,0.2,0.1,"1",1,50,50,50,0.9,NA,"adult","adult","adult","after","after","TRUE",0.76
"54","plate3",0.84,"positive","low",7947,"1162","trni",2015-03-04,"blood","pink",2015,2012-07-04,"serena.n",2016-06-27,"dls",NA,"m","r","wafl",NA,"0",NA,NA,NA,"1",32,2012,"adult","low",2015-03-04,2016-06-27,7,1,0.142857142857143,5,0,0,0,"1",1,5,5,5,-0.74,47.8,"adult","adult","adult","after","after","TRUE",NA
"55","plate3",0.8,"positive","low",7508,"10","bb",1993-12-08,"blood",NA,1993,1989-07-13,"talek",1998-12-29,"dead","humans (spear)","f","r","bsh",NA,"1","1",2,0.9,"1",52.9,1989,"adult","low",1993-12-08,1998-12-29,175,29,0.165714285714286,81,6,0.0740740740740741,0.0342857142857143,"1",7,3,40,15.79,-0.35,79.44,"adult","adult","adult","after","after","TRUE",0.58
"56","plate3",0.78,"positive","low",4054,"105","tz",1993-08-11,"blood","p frozen at top",1993,NA,"talek",NA,NA,NA,"m","i",NA,NA,NA,NA,NA,NA,"1",NA,NA,"adult",NA,1993-08-11,2000-02-18,241,35,0.145228215767635,118,13,0.110169491525424,0.0539419087136929,"1",12,4,100,44.92,0.72,NA,"adult","adult","adult","after","after","TRUE",NA
"57","plate3",0.48,"doubtful","low",4109,"107","will",1994-04-26,"blood","frozen on side",1994,NA,"talek",NA,NA,NA,"m","i",NA,NA,NA,NA,NA,NA,"0",NA,NA,"adult",NA,1994-04-18,1994-04-26,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","plate3",0.65,"positive","low",4378,"11","dave",1990-08-03,"blood",NA,1990,1986-09-15,"talek",NA,NA,NA,"m","r","27",NA,"1",NA,NA,NA,"1",46.6,1986,"adult","low",1990-08-03,1990-11-12,9,2,0.222222222222222,7,1,0.142857142857143,0.111111111111111,"1",1,10,10,10,-0.56,47.5,"adult","adult","adult","after","after","TRUE",NA
"59","plate3",0.49,"doubtful","low",7074,"112","mike",1994-06-10,"blood","red; tube incorrectly says '628' and '10/5/11'",1994,NA,"talek",1997-11-19,"dead","lions","m","i",NA,NA,NA,NA,NA,NA,"0",NA,NA,"adult",NA,1994-03-27,1994-06-10,10,1,0.1,7,1,0.142857142857143,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","plate3",0.68,"positive","low",4308,"12","sher",1990-08-07,"blood","pink",1990,1987-08-01,"talek",2001-06-27,"dls","fate unknown","m","r","kb","65","0","1",NA,NA,"1",36.2,1987,"adult","low",1990-08-07,1991-07-01,30,4,0.133333333333333,23,2,0.0869565217391304,0.0666666666666667,"1",3,8,60,39.33,0.51,44.27,"adult","adult","adult","after","after","TRUE",NA
"61","plate3",0.81,"positive","low",13591,"126","mig",1994-09-20,"blood","clear; appears empty",1994,NA,"talek",2010-02-02,"dls","fate unknown","m","i",NA,NA,NA,NA,NA,NA,"1",NA,NA,"adult",NA,1994-09-20,2010-02-02,517,102,0.197292069632495,296,37,0.125,0.0715667311411992,"1",30,1,100,30.73,0.2,NA,"adult","adult","adult","after","after","TRUE",NA
"62","plate3",0.56,"positive","low",5551,"164","stg",1997-07-02,"blood",NA,1997,NA,"talek",NA,NA,NA,"m","i",NA,NA,NA,NA,NA,NA,"1",NA,NA,"adult",NA,1997-07-02,1999-09-20,87,7,0.0804597701149425,45,3,0.0666666666666667,0.0344827586206897,"1",3,1,60,37,0.43,NA,"adult","adult","adult","after","after","TRUE",NA
"63","plate3",0.61,"positive","low",3869,"167","gob",1997-07-17,"blood","no datre on tube, looked at tbldarting",1997,NA,"talek",NA,NA,NA,"m","i",NA,NA,NA,NA,NA,NA,"1",NA,NA,"adult",NA,1997-07-17,2002-06-09,192,22,0.114583333333333,108,7,0.0648148148148148,0.0364583333333333,"1",7,20,100,57.86,1.19,NA,"adult","adult","adult","after","after","TRUE",NA
"64","plate3",0.48,"doubtful","low",4059,"172","pos",1996-07-08,"blood","p frozen on side; min1",1996,NA,"talek",1999-03-25,"dls","fate unknown","m","i",NA,NA,NA,NA,NA,NA,"0",NA,NA,"adult",NA,1996-01-31,1996-07-08,27,2,0.0740740740740741,12,0,0,0,"0",1,50,50,50,0.9,NA,"adult","adult","adult","before","before","TRUE",NA
"65","plate3",0.38,"negative","low",5677,"175","rs",1997-06-04,"blood","edta. frozen in cap",1997,NA,"talek",1998-11-30,"dead",NA,"m","i",NA,NA,NA,NA,NA,NA,"0",NA,NA,"adult",NA,1995-12-06,1997-06-04,70,8,0.114285714285714,32,4,0.125,0.0571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","plate3",0.65,"positive","low",5682,"178","bp",1997-07-15,"blood","edta; pink; frozen on side",1997,NA,"talek",NA,NA,NA,"m","i",NA,NA,NA,NA,NA,NA,"1",NA,NA,"adult",NA,1997-07-15,2002-04-15,192,42,0.21875,108,17,0.157407407407407,0.0885416666666667,"1",12,1,60,26.5,0.04,NA,"adult","adult","adult","after","after","TRUE",NA
"67","plate3",0.6,"positive","low",4118,"179","sim",1996-07-28,"blood","tube incorrectly says 7/29 but it's actually 7/28; min1",1996,NA,"talek",2000-03-17,"dls","humans (us)","m","i",NA,NA,NA,NA,NA,NA,"1",NA,NA,"adult",NA,1996-07-28,2000-03-17,155,21,0.135483870967742,80,7,0.0875,0.0451612903225806,"1",8,10,50,29.38,0.15,NA,"adult","adult","adult","after","after","TRUE",NA
