"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dob.date","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared.date","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","age.mon.lion","age.cat.lion","hum.dist.lion","rank","stan.rank.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist.dob","diagnosis.time","toxo.status","dist.age.stndrzd"
"11",807,"t12939",3,TRUE,FALSE,"bp","00-jan-00",6,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feedign","talek","k",1997-07-26,"07:14:00","08:00:00",1997,7,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1996-06-18,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2002-04-15,"dls","dispersed",NA,"",NA,"adult","low",NA,NA,"low","positive",1997-07-15,NA,"adult",NA,"after","1",0.942116724205279
"12",810,"t9001",3,TRUE,FALSE,"ger","00-jan-00",1,"fds",NA,3,FALSE,"scrap","scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,5,"f","r","coch","en","1","1",1992-11-07,"","talek",NA,"",1992-11-29,"","",NA,"",1993-06-08,"","","0.5","",1993-12-01,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2005-06-02,"dead","humans",NA,"",36.8,"adult","low",12,0.241379310344828,"low","negative",1993-07-12,8.1,"cub","low","after","0",-0.802180613127997
"13",813,"t9001",3,TRUE,FALSE,"tz","00-jan-00",3,"scan",NA,5,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,3,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1993-07-05,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-02-18,"dls","dispersed",NA,"",NA,"adult","low",NA,NA,"low","positive",1993-08-11,NA,"adult",NA,"after","1",-0.72795519451807
"14",815,"t9001",3,TRUE,FALSE,"mike","00-jan-00",5,"scan",NA,10,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,1,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1994-03-27,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",2016-05-01,"fission","talek",NA,"",NA,NA,NA,NA,NA,1997-11-19,"dead","lions",NA,"",NA,"adult","low",NA,NA,"low","doubtful",1994-06-10,NA,"adult",NA,"after","0",-0.542391647993254
"15",839,"t9001",3,TRUE,FALSE,"jab","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,7,"f","r","bb",NA,"1",NA,1992-02-02,"","talek",NA,"",1992-02-03,"","",NA,"",1992-10-21,"","","8","",1992-09-16,"","","10","",NA,"","",NA,"",NA,NA,NA,NA,NA,1998-04-26,"dls","inferred dead",NA,"",46,"adult","low",5,0.724137931034483,"low","positive",1992-12-08,10.2,"cub","low","after","1",-0.802180613127997
"16",840,"t9001",3,TRUE,FALSE,"bb","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","bsh",NA,"1","1",1989-07-13,"","talek",NA,"",1989-08-11,"","",NA,"",1990-03-13,"","","1.5","",1990-05-21,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1998-12-29,"dead","humans (spear)",NA,"",76.7,"adult","low",6,0.655172413793103,"low","positive",1993-12-08,52.9,"adult","low","after","1",-0.802180613127997
"17",845,"t12939",3,TRUE,FALSE,"mike","00-jan-00",1,"fd on head and neck",NA,60,FALSE,"gnu head and neck",NA,"talek","k",1997-07-26,"07:14:00","08:00:00",1997,6,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1994-03-27,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",2016-05-01,"fission","talek",NA,"",NA,NA,NA,NA,NA,1997-11-19,"dead","lions",NA,"",NA,"adult","low",NA,NA,"low","doubtful",1994-06-10,NA,"adult",NA,"after","0",1.31324381725491
"18",850,"t12939",3,TRUE,FALSE,"pos","00-jan-00",6,"dist",NA,60,FALSE,NA,NA,"talek","k",1997-07-26,"07:14:00","08:00:00",1997,4,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1996-01-31,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-03-25,"dls","fate unknown",NA,"",NA,"adult","low",NA,NA,"low","doubtful",1996-07-08,NA,"adult",NA,"after","0",1.31324381725491
"19",867,"t15304.2",3,FALSE,FALSE,"ua","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","79",NA,"0","1",1987-03-01,"","talek",NA,"",1987-08-01,"","",NA,"",NA,"","",NA,"",1988-08-19,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2001-05-05,"dls","lions",NA,"",138.3,"adult","low",19,-0.285714285714286,"low","positive",1994-06-26,87.8,"adult","low","after","1",-0.542391647993254
"20",868,"t15304.2",3,FALSE,FALSE,"bsh","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","kb",NA,NA,NA,1983-01-01,"","talek",NA,"",1983-01-01,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",NA,"",188.2,"adult","low",1,1,"low","positive",1994-05-02,136,"adult","low","after","1",-0.542391647993254
"21",869,"t15304.2",3,FALSE,FALSE,"mali","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","jab",NA,"1","2",1996-10-13,"","talek",NA,"",1996-11-11,"","",NA,"",1997-04-08,"","","2.5","",1997-10-01,"","","4","",NA,"","",NA,"",NA,NA,NA,NA,NA,2006-01-13,"dls","inferred dead",NA,"",22.9,"subadult","low",NA,NA,"low","negative",1997-07-04,8.7,"cub","low","after","0",-0.611420570525738
"22",878,"t17492",3,TRUE,FALSE,"jj","00-jan-00",2,"dist",NA,10,FALSE,NA,"brt","talek","k",1999-03-17,"06:46:00","07:49:00",1999,1,"f","r","dj","zip","1","2",1992-09-15,"","talek",NA,"",1992-10-23,"","",NA,"",1993-03-29,"","","2","",1993-08-06,"","",NA,"",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2003-01-29,"dead","",NA,"mortality signal from collar",78,"adult","low",12,0.266666666666667,"low","positive",1993-08-12,10.9,"cub","low","after","1",-0.542391647993254
"23",879,"t17492",3,TRUE,FALSE,"mali","00-jan-00",3,"dist",NA,10,FALSE,NA,"brt","talek","k",1999-03-17,"06:46:00","07:49:00",1999,1,"f","r","jab",NA,"1","2",1996-10-13,"","talek",NA,"",1996-11-11,"","",NA,"",1997-04-08,"","","2.5","",1997-10-01,"","","4","",NA,"","",NA,"",NA,NA,NA,NA,NA,2006-01-13,"dls","inferred dead",NA,"",29.1,"adult","low",8,0.533333333333333,"low","negative",1997-07-04,8.7,"cub","low","after","0",-0.542391647993254
"24",880,"t17492",3,TRUE,FALSE,"nav","00-jan-00",4,"dist",NA,10,FALSE,NA,"brt","talek","k",1999-03-17,"06:46:00","07:49:00",1999,1,"f","r","coch","en","1","2",1992-11-07,"","talek",NA,"",1992-11-29,"","",NA,"",1993-06-08,"","","0.5","",1993-11-29,"","",NA,"",2016-05-01,"fission","kcm",NA,"",NA,NA,NA,NA,NA,2016-07-20,"dls","inferred dead",NA,"",76.2,"adult","low",17,-0.0666666666666667,"low","negative",1993-07-21,8.4,"cub","low","after","0",-0.542391647993254
"25",919,"t6699",3,FALSE,FALSE,"who","00-jan-00",1,"dist",NA,40,FALSE,NA,NA,"talek","o",1994-04-04,"08:36:00","09:15:00",1994,2,"f","r","bsh","zip","0","1",1991-07-07,"","talek",NA,"",1991-07-20,"","",NA,"",NA,"","",NA,"",1992-05-22,"","","1","",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2006-12-21,"","",NA,"",32.9,"adult","low",2,0.91304347826087,"low","negative",1991-11-27,4.7,"cub","low","after","0",0.570989631155646
"26",940,"t9140",3,TRUE,FALSE,"rm","00-jan-00",1,"runs fast",NA,40,FALSE,NA,"response to male lion running in","talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"f","r","ua",NA,"1","1",1993-07-07,"","talek",NA,"",1993-08-20,"","",NA,"",1994-03-23,"","","0.5","",1994-07-27,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1996-09-12,"dls","inferred dead",NA,"",32.6,"adult","low",20,-0.310344827586207,"low","positive",1994-08-27,13.7,"subadult","low","after","1",0.570989631155646
"27",942,"t9140",3,TRUE,FALSE,"who","00-jan-00",1,"dist",NA,20,FALSE,NA,NA,"talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"f","r","bsh","zip","0","1",1991-07-07,"","talek",NA,"",1991-07-20,"","",NA,"",NA,"","",NA,"",1992-05-22,"","","1","",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2006-12-21,"","",NA,"",56.6,"adult","low",4,0.793103448275862,"low","negative",1991-11-27,4.7,"cub","low","after","0",-0.171264554943621
"28",943,"t9140",3,TRUE,FALSE,"jab","00-jan-00",2,"dist",NA,20,FALSE,NA,NA,"talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"f","r","bb",NA,"1",NA,1992-02-02,"","talek",NA,"",1992-02-03,"","",NA,"",1992-10-21,"","","8","",1992-09-16,"","","10","",NA,"","",NA,"",NA,NA,NA,NA,NA,1998-04-26,"dls","inferred dead",NA,"",49.7,"adult","low",6,0.655172413793103,"low","positive",1992-12-08,10.2,"cub","low","after","1",-0.171264554943621
"29",961,"t10807",3,TRUE,FALSE,"zulu","00-jan-00",1,"dist",NA,100,FALSE,NA,NA,"talek","k",1996-10-18,"06:05:00","07:08:00",1996,1,"m","r","pt",NA,"1","2",1994-05-01,"","talek",NA,"",1994-05-30,"","",NA,"",1995-01-28,"","","0.5","",1995-08-20,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1997-08-31,"dead","lions",NA,"",29.6,"adult","low",NA,NA,"low","positive",1995-02-10,9.4,"cub","low","after","1",2.79775218945344
"30",968,"t80249",3,FALSE,FALSE,"hel","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","mrph",NA,NA,NA,2006-02-01,"","talek",NA,"",2006-06-08,"","",NA,"",2006-11-11,"","","1","",2006-12-30,"","","19.5","",2016-05-01,"fission","talek",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"",83.7,"adult","hi",1,1,"hi","positive",2012-05-06,75.1,"adult",NA,"after","1",2.79775218945344
"31",970,"t80249",3,FALSE,FALSE,"amaz","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","hel",NA,"1","1",2009-02-15,"","talek",NA,"",2009-06-03,"","",NA,"",2009-11-19,"","","5.5","",2009-09-29,"","","15","",2016-05-01,"fission","talek",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"",47.2,"adult","hi",3,0.914893617021277,"hi","positive",2012-06-16,40,"adult",NA,"after","1",2.79775218945344
"32",971,"t80249",3,FALSE,FALSE,"atac","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","hel",NA,"1","2",2009-02-15,"","talek",NA,"",2009-06-03,"","",NA,"",2009-10-18,"","","2","",2009-07-15,"","","1","",2016-05-01,"fission","talek",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"",47.2,"adult","hi",5,0.829787234042553,"hi","positive",2012-06-13,39.9,"adult",NA,"after","1",2.79775218945344
"33",972,"t80249",3,FALSE,FALSE,"pant","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"m","r","hel",NA,"1","2",2010-12-21,"","talek",NA,"",2011-01-29,"","",NA,"",2011-06-13,"","","0.5","",2011-09-20,"","","4","",2014-01-06,"dispersal","talek.e",NA,"data from andy",NA,NA,NA,NA,NA,2015-02-01,"dls","dispersed",NA,"",25.1,"adult","hi",NA,NA,"hi","positive",2013-05-23,29,"adult",NA,"before","1",2.79775218945344
"34",975,"t9118",3,FALSE,FALSE,"dj","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","n2",NA,NA,NA,1985-11-15,"","talek",NA,"",1985-11-15,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1996-10-27,"dls","lions",NA,"",123.8,"adult","low",10,0.379310344827586,"low","positive",1991-01-19,62.1,"adult","low","after","1",-0.356828101468437
"35",976,"t9118",3,FALSE,FALSE,"hg","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","dj","zip","1","1",1992-09-15,"","talek",NA,"",1992-10-23,"","",NA,"",1993-03-29,"","","2","",1993-08-06,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2003-01-22,"dls","inferred dead",NA,"",41.8,"adult","low",11,0.310344827586207,"low","positive",1999-08-17,83,"adult","low","before","1",-0.356828101468437
"36",978,"t9118",3,FALSE,FALSE,"bsh","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","kb",NA,NA,NA,1983-01-01,"","talek",NA,"",1983-01-01,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",NA,"",158.3,"adult","low",1,1,"low","positive",1994-05-02,136,"adult","low","after","1",-0.356828101468437
"37",980,"t9118",3,FALSE,FALSE,"mp","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","dj","bag","1","1",1994-07-23,"","talek",NA,"",1994-08-14,"","",NA,"",1995-03-18,"","","0.5","",1995-08-30,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2013-07-13,"dls","inferred dead",NA,"",19.6,"subadult","low",NA,NA,"low","negative",1995-04-10,8.6,"cub","low","after","0",-0.373470333288601
"38",981,"t9118",3,FALSE,FALSE,"dd","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"m","r","dj","bag","1","2",1994-07-23,"","talek",NA,"",1994-08-14,"","",NA,"",1995-03-18,"","","0.5","",1995-08-30,"","",NA,"",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2000-10-17,"dls","dispersed",NA,"",19.6,"subadult","low",NA,NA,"low","negative",1995-04-13,8.7,"cub","low","after","0",-0.373470333288601
"39",982,"t9118",3,FALSE,FALSE,"jab","00-jan-00",2,"run whps brt",NA,10,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","bb",NA,"1",NA,1992-02-02,"","talek",NA,"",1992-02-03,"","",NA,"",1992-10-21,"","","8","",1992-09-16,"","","10","",NA,"","",NA,"",NA,NA,NA,NA,NA,1998-04-26,"dls","inferred dead",NA,"",49.2,"adult","low",6,0.655172413793103,"low","positive",1992-12-08,10.2,"cub","low","after","1",-0.542391647993254
"40",1000,"t9118",3,FALSE,FALSE,"tz","00-jan-00",1,"so",NA,30,FALSE,NA,"scan","talek","d",1996-03-11,"18:07:00","18:50:00",1996,2,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1993-07-05,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-02-18,"dls","dispersed",NA,"",NA,"adult","low",NA,NA,"low","positive",1993-08-11,NA,"adult",NA,"after","1",0.199862538106013
"41",1023,"t9185",3,FALSE,FALSE,"sx","00-jan-00",1,"scan",NA,10,FALSE,NA,"scan","talek","m",1996-05-09,"06:31:00","06:57:00",1996,1,"f","r","coch",NA,"1","1",1989-10-14,"","talek",NA,"",1989-11-21,"","",NA,"",1990-04-25,"","","0.5","",1991-01-15,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-07-07,"dls","inferred dead",NA,"",78.8,"adult","low",16,-0.0344827586206897,"low","positive",1990-12-28,14.5,"subadult","low","after","1",-0.542391647993254
"42",1027,"t9185",3,FALSE,FALSE,"sy","00-jan-00",1,"brt st/lk",NA,5,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,5,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1989-09-17,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,"",NA,"adult","low",NA,NA,"low","doubtful",1990-12-19,NA,"adult",NA,"after","0",-0.72795519451807
"43",1028,"t9185",3,FALSE,FALSE,"fn","00-jan-00",2,"brt st/lk",NA,5,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,4,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1990-12-03,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,"",NA,"adult","low",NA,NA,"low","positive",1991-07-11,NA,"adult",NA,"after","1",-0.72795519451807
"44",1029,"t9185",3,FALSE,FALSE,"who","00-jan-00",3,"dist",NA,7,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,5,"f","r","bsh","zip","0","1",1991-07-07,"","talek",NA,"",1991-07-20,"","",NA,"",NA,"","",NA,"",1992-05-22,"","","1","",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2006-12-21,"","",NA,"",58.1,"adult","low",4,0.793103448275862,"low","negative",1991-11-27,4.7,"cub","low","after","0",-0.653729775908144
"45",1049,"t9185",3,FALSE,FALSE,"tz","00-jan-00",2,"dist",NA,4,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,2,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1993-07-05,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-02-18,"dls","dispersed",NA,"",NA,"adult","low",NA,NA,"low","positive",1993-08-11,NA,"adult",NA,"after","1",-0.765067903823034
"46",1168,"t11259",3,FALSE,FALSE,"nav","00-jan-00",2,"dist",NA,100,FALSE,NA,NA,"talek","d",1997-03-08,"06:23:00","07:24:00",1997,1,"f","r","coch","en","1","2",1992-11-07,"","talek",NA,"",1992-11-29,"","",NA,"",1993-06-08,"","","0.5","",1993-11-29,"","",NA,"",2016-05-01,"fission","kcm",NA,"",NA,NA,NA,NA,NA,2016-07-20,"dls","inferred dead",NA,"",52,"adult","low",15,0,"low","negative",1993-07-21,8.4,"cub","low","after","0",2.79775218945344
"47",1177,"t13536",3,TRUE,FALSE,"wr","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","k",1997-09-15,"06:35:00","08:08:00",1997,2,"f","r","bb","rcn","1","2",1994-06-22,"","talek",NA,"",1994-07-08,"","",NA,"",1995-01-25,"","","1.5","",1995-12-30,"","",NA,"",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2007-02-25,"dls","inferred dead",NA,"",38.8,"adult","low",10,0.357142857142857,"low","negative",1995-02-12,7.7,"cub","low","after","0",-0.542391647993254
"48",1178,"t13536",3,TRUE,FALSE,"mp","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","k",1997-09-15,"06:35:00","08:08:00",1997,2,"f","r","dj","bag","1","1",1994-07-23,"","talek",NA,"",1994-08-14,"","",NA,"",1995-03-18,"","","0.5","",1995-08-30,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2013-07-13,"dls","inferred dead",NA,"",37.8,"adult","low",11,0.285714285714286,"low","negative",1995-04-10,8.6,"cub","low","after","0",-0.542391647993254
"49",1179,"t13536",3,TRUE,FALSE,"bern","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","k",1997-09-15,"06:35:00","08:08:00",1997,2,"f","r","lg","hol","0","1",1992-10-01,"","talek",NA,"",1992-12-26,"","",NA,"",1993-06-11,"","","2","",1993-08-24,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-09-04,"dls","lions",NA,"",59.5,"adult","low",29,-1,"low","positive",1993-07-19,9.6,"cub","low","after","1",-0.542391647993254
