"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","rank.clan","rank","stan.rank.lion","age.mon.lion","age.cat.lion","hum.dist.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist.dob","diagnosis.time","toxo.status","dist.age.stndrzd"
"11",868,"t15304.2",3,FALSE,FALSE,"bsh","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,188.2,"adult","low","low","positive",1994-05-02,136,"adult","low","after","1",-0.559154815261429
"12",878,"t17492",3,TRUE,FALSE,"jj","00-jan-00",2,"dist",NA,10,FALSE,NA,"brt","talek","k",1999-03-17,"06:46:00","07:49:00",1999,1,"f","r","dj","zip","1","2",1993-03-29,NA,NA,2003-01-18,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,"talek",12,0.266666666666667,78,"adult","low","low","positive",1993-08-12,10.9,"cub","low","after","1",-0.559154815261429
"13",939,"t9140",3,TRUE,FALSE,"rinc","00-jan-00",1,"runs fast",NA,40,FALSE,NA,"response to male lion running in","talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"m","r","jab","fn","1","2",1996-04-16,NA,NA,1997-05-09,"dls","inferred dead",1995-08-01,NA,"talek",1996-07-15,NA,NA,NA,NA,NA,7.8,"cub","low","low","negative",1996-06-08,10.2,"cub","low","before","0",-0.574707518835077
"14",940,"t9140",3,TRUE,FALSE,"rm","00-jan-00",1,"runs fast",NA,40,FALSE,NA,"response to male lion running in","talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"f","r","ua",NA,"1","1",1994-03-23,NA,NA,1996-09-12,"dls","inferred dead",1993-07-07,NA,"talek",1994-07-27,NA,NA,"talek",20,-0.310344827586207,32.6,"adult","low","low","positive",1994-08-27,13.7,"subadult","low","after","1",0.535817345175326
"15",943,"t9140",3,TRUE,FALSE,"jab","00-jan-00",2,"dist",NA,20,FALSE,NA,NA,"talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,"talek",6,0.655172413793103,49.7,"adult","low","low","positive",1992-12-08,10.2,"cub","low","after","1",-0.194164095115844
"16",961,"t10807",3,TRUE,FALSE,"zulu","00-jan-00",1,"dist",NA,100,FALSE,NA,NA,"talek","k",1996-10-18,"06:05:00","07:08:00",1996,1,"m","r","pt",NA,"1","2",1995-01-28,NA,NA,1997-08-31,"dead","lions",1994-05-01,NA,"talek",1995-08-20,NA,NA,NA,NA,NA,29.6,"adult","low","low","positive",1995-02-10,9.4,"cub","low","after","1",2.72576166604884
"17",968,"t80249",3,FALSE,FALSE,"hel","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","mrph",NA,NA,NA,2006-11-11,NA,NA,NA,"dls","double check: alive but with disappeared date",2006-02-01,NA,"talek",2006-12-30,NA,NA,"talek",1,1,83.7,"adult","hi","hi","positive",2012-05-06,75.1,"adult",NA,"after","1",2.72576166604884
"18",970,"t80249",3,FALSE,FALSE,"amaz","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","hel",NA,"1","1",2009-11-19,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-02-15,NA,"talek",2009-09-29,NA,NA,"talek",3,0.914893617021277,47.2,"adult","hi","hi","positive",2012-06-16,40,"adult",NA,"after","1",2.72576166604884
"19",971,"t80249",3,FALSE,FALSE,"atac","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","hel",NA,"1","2",2009-10-18,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-02-15,NA,"talek",2009-07-15,NA,NA,"talek",5,0.829787234042553,47.2,"adult","hi","hi","positive",2012-06-13,39.9,"adult",NA,"after","1",2.72576166604884
"20",975,"t9118",3,FALSE,FALSE,"dj","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","n2",NA,NA,NA,NA,NA,NA,1996-10-27,"dls","lions",1985-11-15,NA,"talek",NA,NA,NA,"talek",10,0.379310344827586,123.8,"adult","low","low","positive",1991-01-19,62.1,"adult","low","after","1",-0.376659455188637
"21",978,"t9118",3,FALSE,FALSE,"bsh","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,158.3,"adult","low","low","positive",1994-05-02,136,"adult","low","after","1",-0.376659455188637
"22",982,"t9118",3,FALSE,FALSE,"jab","00-jan-00",2,"run whps brt",NA,10,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,"talek",6,0.655172413793103,49.2,"adult","low","low","positive",1992-12-08,10.2,"cub","low","after","1",-0.559154815261429
"23",1000,"t9118",3,FALSE,FALSE,"tz","00-jan-00",1,"so",NA,30,FALSE,NA,"scan","talek","d",1996-03-11,"18:07:00","18:50:00",1996,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult",NA,"after","1",0.170826625029741
"24",1023,"t9185",3,FALSE,FALSE,"sx","00-jan-00",1,"scan",NA,10,FALSE,NA,"scan","talek","m",1996-05-09,"06:31:00","06:57:00",1996,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",16,-0.0344827586206897,78.8,"adult","low","low","positive",1990-12-28,14.5,"subadult","low","after","1",-0.559154815261429
"25",1028,"t9185",3,FALSE,FALSE,"fn","00-jan-00",2,"brt st/lk",NA,5,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,4,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1991-07-11,NA,"adult",NA,"after","1",-0.741650175334222
"26",1049,"t9185",3,FALSE,FALSE,"tz","00-jan-00",2,"dist",NA,4,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult",NA,"after","1",-0.778149247348781
"27",1167,"t11259",3,FALSE,FALSE,"wash","00-jan-00",2,"dist",NA,100,FALSE,NA,NA,"talek","d",1997-03-08,"06:23:00","07:24:00",1997,1,"m","r","nav","mike","1","2",1997-06-29,NA,NA,1997-08-27,"dead","humans",1996-10-23,NA,"talek",NA,"dbw",NA,NA,NA,NA,4.5,"cub","low","low","negative",1997-06-30,8.2,"cub","low","before","0",0.898901503818967
"28",1179,"t13536",3,TRUE,FALSE,"bern","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","k",1997-09-15,"06:35:00","08:08:00",1997,2,"f","r","lg","hol","0","1",1993-06-11,NA,NA,2000-09-04,"dls","lions",1992-10-01,NA,"talek",1993-08-24,NA,NA,"talek",29,-1,59.5,"adult","low","low","positive",1993-07-19,9.6,"cub","low","after","1",-0.559154815261429
"29",1219,"t19570",3,TRUE,FALSE,"bos","00-jan-00",4,"brt soc snf",NA,20,FALSE,NA,NA,"talek","k",1999-08-18,"06:22:00","07:30:00",1999,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1997-01-22,NA,"adult",NA,"after","1",-0.194164095115844
"30",1221,"t19570",3,TRUE,FALSE,"sim","00-jan-00",4,"brt soc snf",NA,20,FALSE,NA,NA,"talek","k",1999-08-18,"06:22:00","07:30:00",1999,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult",NA,"after","1",-0.194164095115844
"31",1222,"t15170",3,TRUE,FALSE,"sx","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","c",1998-07-28,"07:03:00","08:06:00",1998,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",17,-0.142857142857143,105.4,"adult","low","low","positive",1990-12-28,14.5,"subadult","low","after","1",-0.559154815261429
"32",1244,"t18010",3,TRUE,FALSE,"gob","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1997-07-17,NA,"adult",NA,"after","1",-0.194164095115844
"33",1247,"t18010",3,TRUE,FALSE,"cuj","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","r","kip",NA,"1","2",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-08-06,NA,NA,NA,NA,NA,21.7,"subadult","low","low","doubtful",1999-05-11,22,"subadult","low","before","0",-0.106440043192347
"34",1248,"t18010",3,TRUE,FALSE,"mrph","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","bsh",NA,"1","1",1996-12-24,NA,NA,2011-04-10,"dead","lions",1996-06-25,NA,"talek",1997-06-01,NA,NA,"talek",2,0.933333333333333,34.2,"adult","low","low","positive",1997-06-07,11.4,"cub","low","after","1",-0.194164095115844
"35",1249,"t18010",3,TRUE,FALSE,"kip","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,"talek",7,0.6,64.7,"adult","low","low","positive",1994-12-18,12.3,"subadult","low","after","1",-0.194164095115844
"36",1250,"t18010",3,TRUE,FALSE,"darw","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","r","jb","fa","0",NA,1996-12-24,NA,NA,NA,NA,NA,1996-07-01,NA,"talek",1997-06-01,NA,NA,NA,NA,NA,34,"adult","low","low","positive",1997-06-11,11.3,"cub","low","after","1",-0.194164095115844
"37",1251,"t18010",3,TRUE,FALSE,"bsh","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,195.9,"adult","low","low","positive",1994-05-02,136,"adult","low","after","1",-0.194164095115844
"38",1252,"t18010",3,TRUE,FALSE,"csn","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","bsh","fn","0",NA,1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,NA,NA,NA,14.5,"subadult","low","low","positive",1999-01-29,11.4,"cub","low","after","1",-0.106440043192347
"39",1254,"t18010",3,TRUE,FALSE,"bos","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1997-01-22,NA,"adult",NA,"after","1",-0.194164095115844
"40",1264,"t18010",3,TRUE,FALSE,"fn","00-jan-00",1,"dist",NA,5,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,3,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1991-07-11,NA,"adult",NA,"after","1",-0.741650175334222
"41",1310,"t22209",3,FALSE,FALSE,"bp","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","o",2000-02-24,"18:40:00","19:17:00",2000,3,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult",NA,"after","1",-0.0116687350430516
"42",1313,"t22209",3,FALSE,FALSE,"mig","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","o",2000-02-24,"18:40:00","19:17:00",2000,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1994-09-20,NA,"adult",NA,"after","1",-0.0116687350430516
"43",1315,"t22209",3,FALSE,FALSE,"sein","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","o",2000-02-24,"18:40:00","19:17:00",2000,2,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-02-25,"dls","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,"talek",3,0.733333333333333,59.1,"adult","low","low","positive",1997-07-16,27.8,"adult","low","after","1",-0.0116687350430516
"44",1340,"t25402",3,FALSE,FALSE,"csn","00-jan-00",1,"scan",NA,30,FALSE,NA,NA,"talek","o",2000-12-06,"07:43:00","07:49:00",2000,2,"f","r","bsh","fn","0",NA,1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,"talek",2,0.866666666666667,33.7,"adult","low","low","positive",1999-01-29,11.4,"cub","low","after","1",0.170826625029741
"45",1356,"t15357",3,TRUE,FALSE,"gob","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1997-07-17,NA,"adult",NA,"after","1",-0.0116687350430516
"46",1368,"t15357",3,TRUE,FALSE,"bb","00-jan-00",6,"dist",NA,20,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,1,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,"talek",10,0.357142857142857,110.6,"adult","low","low","positive",1993-12-08,52.9,"adult","low","after","1",-0.194164095115844
"47",1371,"t15357",3,TRUE,FALSE,"sein","00-jan-00",9,"dist",NA,5,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,2,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-02-25,"dls","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,"talek",3,0.857142857142857,42.4,"adult","low","low","positive",1997-07-16,27.8,"adult","low","after","1",-0.741650175334222
"48",1393,"t15357",3,TRUE,FALSE,"mrph","00-jan-00",2,"dist",NA,10,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,2,"f","r","bsh",NA,"1","1",1996-12-24,NA,NA,2011-04-10,"dead","lions",1996-06-25,NA,"talek",1997-06-01,NA,NA,"talek",2,0.928571428571429,27.2,"adult","low","low","positive",1997-06-07,11.4,"cub","low","after","1",-0.559154815261429
"49",1512,"t11417.2",3,TRUE,FALSE,"sim","00-jan-00",2,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult",NA,"after","1",-0.559154815261429
"50",1517,"t11417.2",3,TRUE,FALSE,"ua","00-jan-00",7,"scan",NA,20,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","79",NA,"0","1",NA,NA,NA,2001-05-05,"dls","lions",1987-03-01,NA,"talek",1988-08-19,NA,NA,"talek",19,-0.285714285714286,122,"adult","low","low","positive",1994-06-26,87.8,"adult","low","after","1",-0.194164095115844
"51",1521,"t11417.2",3,TRUE,FALSE,"par","00-jan-00",1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","gw","rcn","0",NA,1994-04-03,NA,NA,2004-02-10,"dls","inferred dead",1993-07-15,NA,"talek",NA,NA,NA,"talek",25,-0.714285714285714,45.5,"adult","low","low","positive",1994-06-23,11.3,"cub","low","after","1",-0.741650175334222
"52",1522,"t11417.2",3,TRUE,FALSE,"jj","00-jan-00",1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"f","r","dj","zip","1","2",1993-03-29,NA,NA,2003-01-18,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,"talek",13,0.142857142857143,55.5,"adult","low","low","positive",1993-08-12,10.9,"cub","low","after","1",-0.741650175334222
"53",1526,"t11417.2",3,TRUE,FALSE,"jb","00-jan-00",1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"f","r","bsh","fn","1","1",1994-03-22,NA,NA,1997-12-03,"dls","inferred dead",1993-06-26,NA,"talek",1994-02-17,NA,NA,"talek",3,0.857142857142857,46.1,"adult","low","low","positive",1994-07-04,12.3,"subadult","low","after","1",-0.741650175334222
"54",1530,"t11417.2",3,TRUE,FALSE,"sx","00-jan-00",2,"scan",NA,30,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",16,-0.0714285714285714,90.5,"adult","low","low","positive",1990-12-28,14.5,"subadult","low","after","1",0.170826625029741
"55",1666,"t28037",3,TRUE,FALSE,"bos","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,7,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult",NA,"low","positive",1997-01-22,NA,"adult",NA,"after","1",-0.887646463392456
"56",1667,"t28037",3,TRUE,FALSE,"bp","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,9,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult",NA,"low","positive",1997-07-15,NA,"adult",NA,"after","1",-0.887646463392456
"57",1668,"t28037",3,TRUE,FALSE,"cr","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,6,"f","r","ot",NA,"1","1",1994-04-02,NA,NA,2002-03-03,"dls","inferred dead",1993-08-15,NA,"talek",1994-08-01,NA,NA,"talek",15,-0.647058823529412,94.3,"adult",NA,"low","positive",1994-05-24,9.3,"cub","low","after","1",-0.887646463392456
"58",1669,"t28037",3,TRUE,FALSE,"csn","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,7,"f","r","bsh","fn","0",NA,1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,"talek",3,0.764705882352941,40.3,"adult",NA,"low","positive",1999-01-29,11.4,"cub","low","after","1",-0.887646463392456
"59",1671,"t28037",3,TRUE,FALSE,"mig","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,9,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult",NA,"low","positive",1994-09-20,NA,"adult",NA,"after","1",-0.887646463392456
"60",1673,"t28037",3,TRUE,FALSE,"mrph","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,6,"f","r","bsh",NA,"1","1",1996-12-24,NA,NA,2011-04-10,"dead","lions",1996-06-25,NA,"talek",1997-06-01,NA,NA,"talek",1,1,60,"adult",NA,"low","positive",1997-06-07,11.4,"cub","low","after","1",-0.887646463392456
"61",1696,"t28037",3,TRUE,FALSE,"sein","00-jan-00",1,"mob","lion",1,FALSE,NA,NA,"talek","k",2001-06-26,"06:54:00","08:27:00",2001,8,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-02-25,"dls","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,"talek",4,0.647058823529412,75.2,"adult",NA,"low","positive",1997-07-16,27.8,"adult","low","after","1",-0.887646463392456
"62",1728,"t15357",3,TRUE,FALSE,"fn","00-jan-00",2,"mob",NA,1,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,5,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1991-07-11,NA,"adult",NA,"after","1",-0.887646463392456
