"SPratio","diagnosis","id","date","sex","status","first_seen","den_grad","disappeared","mom","birthdate","clan","start.date","stop.date","lh.sessions","lh.sessions.pres","ratio.sessions.present","lh.intx","lh.intx.pres","ratio.intx.present","ratio.intx.sessions.present"
"0.68","positive","brgr",2013-05-28,"f","r",2012-03-08,2012-09-19,,"cen",2011-10-30,"talek","2013-05-28","2017-01-01",66,4,0.0606060606060606,29,0,0,0
"0.65","positive","gsmk",2013-05-24,"f","r",2012-01-10,2012-07-18,2013-08-17,"sbl",2011-12-02,"talek","2013-05-24","2013-08-17",2,0,0,1,0,0,0
"0.88","positive","fxtr",2013-05-08,"f","r",2012-01-03,2012-06-05,2016-05-09,"dra",2011-10-16,"talek","2013-05-08","2016-05-09",59,3,0.0508474576271186,34,3,0.0882352941176471,0.0508474576271186
"0.67","positive","bata",2013-06-02,"m","r",2012-01-06,2012-06-29,2013-12-20,"hex",2011-11-16,"talek","2013-06-02","2013-12-20",5,0,0,5,0,0,0
"0.72","positive","lust",2013-03-14,"f","r",2011-12-23,2012-07-07,,"arg",2011-09-06,"talek","2013-03-14","2017-01-01",77,10,0.12987012987013,35,3,0.0857142857142857,0.038961038961039
"0.55","positive","xena",2013-05-05,"m","r",2012-01-17,2012-08-17,2014-11-03,"loki",2011-11-25,"talek","2013-05-05","2014-11-03",31,4,0.129032258064516,21,3,0.142857142857143,0.0967741935483871
"0.39","negative","bnt",2013-05-07,"f","r",2012-02-04,2012-07-21,,"mono",2011-09-25,"talek","2012-07-21","2013-05-07",21,1,0.0476190476190476,7,0,0,0
"0.5","positive","zion",2012-06-18,"f","r",2010-04-07,2010-12-24,2013-05-06,"sbl",2010-02-19,"talek","2012-06-18","2013-05-06",32,7,0.21875,14,0,0,0
"0.32","negative","hrpy",2012-05-24,"f","r",2010-04-02,2010-05-22,,"pan",2009-10-29,"talek","2010-05-22","2012-05-24",34,4,0.117647058823529,16,1,0.0625,0.0294117647058824
"0.71","positive","pike",2015-05-17,"f","r",2008-06-30,,,"koi",2007-10-30,"happy.zebra","2015-05-17","2017-01-01",11,3,0.272727272727273,7,1,0.142857142857143,0.0909090909090909
"0.64","positive","ring",2015-01-29,"f","r",2009-12-22,2010-11-16,2017-05-29,"ao",2009-11-30,"happy.zebra","2015-01-29","2017-05-29",29,7,0.241379310344828,16,4,0.25,0.137931034482759
"0.9","positive","csby",2015-03-10,"f","r",2008-06-24,,,"spb",2007-12-30,"happy.zebra","2015-03-10","2017-01-01",24,5,0.208333333333333,13,1,0.0769230769230769,0.0416666666666667
"0.46","doubtful","zoey",2012-06-22,"f","r",2008-06-27,,,"digs",2008-10-31,"serena.n","2009-10-31","2012-06-22",18,2,0.111111111111111,10,0,0,0
"0.68","positive","peep",2012-06-30,"f","r",2008-08-01,,,,2005-12-17,"serena.n","2012-06-30","2017-01-01",37,0,0,23,0,0,0
"0.52","positive","tnsl",2012-06-19,"f","r",2008-08-08,,2014-06-12,"elf?",2006-07-14,"serena.n","2012-06-19","2014-06-12",22,5,0.227272727272727,13,0,0,0
"0.39","doubtful","wafl",2012-07-02,"f","r",2008-07-24,,,,2007-10-30,"serena.n","2008-10-29","2012-07-02",24,1,0.0416666666666667,14,0,0,0
"0.58","positive","ema",2012-07-07,"f","r",2008-06-27,,2016-03-13,,2004-01-30,"serena.n","2012-07-07","2016-03-13",33,2,0.0606060606060606,21,1,0.0476190476190476,0.0303030303030303
"0.51","positive","digs",2013-06-21,"f","r",2008-07-24,,2015-03-31,,2008-08-08,"serena.n","2013-06-21","2015-03-31",27,7,0.259259259259259,16,1,0.0625,0.037037037037037
"0.53","positive","shrm",2013-02-08,"f","r",2008-06-27,,2016-09-24,,2003-04-09,"serena.n","2013-02-08","2016-09-24",35,12,0.342857142857143,22,5,0.227272727272727,0.142857142857143
"0.63","positive","hndy",2012-06-29,"f","r",2008-06-27,,,"shrm",2008-01-01,"serena.n","2012-06-29","2017-01-01",37,1,0.027027027027027,23,0,0,0
"0.45","doubtful","hucn",2014-07-02,"m","r",2012-01-27,2012-07-15,2012-11-06,"rbc",2011-09-12,"serena.n","2012-07-15","2014-07-02",23,8,0.347826086956522,13,3,0.230769230769231,0.130434782608696
"0.62","positive","mchl",2015-07-16,"m","r",2013-02-09,,,"ele",2012-11-17,"serena.n","2015-07-16","2017-01-01",8,1,0.125,5,1,0.2,0.125
"0.67","positive","uzi",2015-03-19,"m","r",2012-11-06,2013-07-01,2016-03-11,"angi",2012-08-21,"serena.n","2015-03-19","2016-03-11",5,1,0.2,4,0,0,0
"0.71","positive","slin",2012-07-22,"f","r",2008-11-17,,,,2008-12-26,"serena.s","2012-07-22","2017-01-01",10,2,0.2,5,0,0,0
"0.8","positive","bart",2012-08-08,"f","r",2008-11-10,,2014-09-14,,2005-01-25,"serena.s","2012-08-08","2014-09-14",2,0,0,0,0,,0
"0.76","positive","mtn",2012-07-21,"f","r",2009-04-01,,,,2006-11-03,"serena.s","2012-07-21","2017-01-01",10,3,0.3,5,1,0.2,0.1
"0.46","doubtful","taj",2012-09-06,"f","r",2008-11-23,,,,2004-06-08,"serena.s","2005-06-08","2012-09-06",24,6,0.25,17,4,0.235294117647059,0.166666666666667
"0.78","positive","java",2013-01-10,"f","r",2008-11-17,,,,2008-03-19,"serena.s","2013-01-10","2017-01-01",10,2,0.2,5,2,0.4,0.2
"0.68","positive","clov",2012-06-24,"f","r",2008-11-25,,2016-08-24,,2003-02-19,"serena.s","2012-06-24","2016-08-24",10,2,0.2,5,1,0.2,0.1
"0.84","positive","trni",2015-03-04,"m","r",2012-07-12,2013-02-18,2016-06-27,"wafl",2012-07-04,"serena.n","2015-03-04","2016-06-27",7,1,0.142857142857143,5,0,0,0
"0.8","positive","bb",1993-12-08,"f","r",1989-08-11,1990-03-13,1998-12-29,"bsh",1989-07-13,"talek","1993-12-08","1998-12-29",175,29,0.165714285714286,81,6,0.0740740740740741,0.0342857142857143
"0.78","positive","tz",1993-08-11,"m","i",1993-07-05,,2000-02-18,,1988-06-17,"talek","1993-08-11","2000-02-18",241,35,0.145228215767635,118,13,0.110169491525424,0.0539419087136929
"0.48","doubtful","will",1994-04-26,"m","i",1994-04-18,,1996-12-23,,1990-04-14,"talek","1994-04-18","1994-04-26",1,0,0,1,0,0,0
"0.65","positive","dave",1990-08-03,"m","r",1988-07-12,,1990-11-12,"27",1986-09-15,"talek","1990-08-03","1990-11-12",9,2,0.222222222222222,7,1,0.142857142857143,0.111111111111111
"0.49","doubtful","mike",1994-06-10,"m","i",1994-03-27,,1997-11-19,,1991-01-27,"talek","1994-03-27","1994-06-10",10,1,0.1,7,1,0.142857142857143,0.1
"0.68","positive","sher",1990-08-07,"m","r",1988-06-26,,1991-07-01,"kb",1987-08-01,"talek","1990-08-07","1991-07-01",30,4,0.133333333333333,23,2,0.0869565217391304,0.0666666666666667
"0.81","positive","mig",1994-09-20,"m","i",1994-09-06,,2010-02-02,,1992-10-16,"talek","1994-09-20","2010-02-02",517,102,0.197292069632495,296,37,0.125,0.0715667311411992
"0.56","positive","stg",1997-07-02,"m","i",1995-01-30,,1999-09-20,,,"talek","1997-07-02","1999-09-20",87,7,0.0804597701149425,45,3,0.0666666666666667,0.0344827586206897
"0.61","positive","gob",1997-07-17,"m","i",1996-05-07,,2002-06-09,,1993-11-26,"talek","1997-07-17","2002-06-09",192,22,0.114583333333333,108,7,0.0648148148148148,0.0364583333333333
"0.48","doubtful","pos",1996-07-08,"m","i",1996-01-31,,1999-03-25,,1990-12-22,"talek","1996-01-31","1996-07-08",27,2,0.0740740740740741,12,0,0,0
"0.38","negative","rs",1997-06-04,"m","i",1995-12-06,,1999-12-18,,,"talek","1995-12-06","1997-06-04",70,8,0.114285714285714,32,4,0.125,0.0571428571428571
"0.65","positive","bp",1997-07-15,"m","i",1996-06-18,,2002-04-15,,1993-01-25,"talek","1997-07-15","2002-04-15",192,42,0.21875,108,17,0.157407407407407,0.0885416666666667
"0.6","positive","sim",1996-07-28,"m","i",1996-06-28,,2000-03-17,,1994-03-17,"talek","1996-07-28","2000-03-17",155,21,0.135483870967742,80,7,0.0875,0.0451612903225806
"0.86","positive","sein",1997-07-16,"f","r",1995-05-06,1995-12-03,2002-02-25,"bsh",1995-03-22,"talek","1997-07-16","2002-02-25",178,38,0.213483146067416,98,12,0.122448979591837,0.0674157303370786
"0.64","positive","bos",1997-01-22,"m","i",1996-09-11,,2002-06-28,,,"talek","1997-01-22","2002-06-28",214,49,0.228971962616822,120,20,0.166666666666667,0.0934579439252336
"0.95","positive","chic",1997-11-06,"m","i",1996-12-02,,1998-04-09,,1988-03-27,"talek","1997-11-06","1998-04-09",11,0,0,8,0,0,0
"0.86","positive","q",1990-12-05,"m","r",1988-11-20,1989-05-29,1991-07-28,"bsh",1988-10-29,"talek","1990-12-05","1991-07-28",28,5,0.178571428571429,21,1,0.0476190476190476,0.0357142857142857
"0.47","doubtful","sy",1990-12-19,"m","i",1989-09-17,,1997-02-12,,1984-08-02,"talek","1989-09-17","1990-12-19",33,10,0.303030303030303,19,3,0.157894736842105,0.0909090909090909
"0.71","positive","bm",1997-07-27,"f","r",1989-08-01,1990-04-16,2000-10-11,"23s",1989-07-17,"talek","1997-07-27","2000-10-11",124,1,0.00806451612903226,66,0,0,0
"0.58","positive","vgs",1999-03-05,"m","i",1997-08-18,,2006-01-25,,1994-01-24,"talek","1999-03-05","2006-01-25",250,64,0.256,150,24,0.16,0.096
"0.77","positive","exc",1999-02-03,"m","i",1997-08-06,,2000-10-11,,1994-07-19,"talek","1999-02-03","2000-10-11",72,19,0.263888888888889,40,5,0.125,0.0694444444444444
"0.82","positive","gw",1990-12-22,"f","r",1979-01-01,,1995-12-12,,1978-01-01,"talek","1990-12-22","1995-12-12",191,12,0.06282722513089,119,4,0.0336134453781513,0.0209424083769634
"1.09","positive","mrb",1990-12-22,"m","i",1986-10-15,,1992-06-01,,1980-06-28,"talek","1990-12-22","1992-06-01",81,15,0.185185185185185,64,10,0.15625,0.123456790123457
"0.66","positive","mer",1999-08-01,"m","i",1997-08-06,,2004-09-21,,1994-09-21,"talek","1999-08-01","2004-09-21",167,18,0.107784431137725,97,6,0.0618556701030928,0.0359281437125748
"1.08","positive","coch",1993-12-15,"f","r",1985-02-01,,1995-09-03,,1985-02-01,"talek","1993-12-15","1995-09-03",44,7,0.159090909090909,22,2,0.0909090909090909,0.0454545454545455
"0.39","negative","chy",1991-11-29,"m","r",1989-11-21,1990-04-25,1993-07-30,"coch",1989-10-14,"talek","1990-04-25","1991-11-29",66,7,0.106060606060606,48,3,0.0625,0.0454545454545455
"0.73","positive","dub",1999-10-19,"m","i",1999-02-27,,2016-06-04,,1994-03-02,"talek","1999-10-19","2016-06-04",483,27,0.0559006211180124,287,11,0.0383275261324042,0.0227743271221532
"1.05","positive","bsh",1994-05-02,"f","r",1983-01-01,,1999-05-29,"kb",1983-01-01,"talek","1994-05-02","1999-05-29",182,27,0.148351648351648,87,5,0.0574712643678161,0.0274725274725275
"0.54","positive","quai",1990-12-28,"m","i",1988-09-05,,1993-06-21,,1987-01-10,"talek","1990-12-28","1993-06-21",124,33,0.266129032258065,88,14,0.159090909090909,0.112903225806452
"0.59","positive","dj",1991-01-19,"f","r",1985-11-15,,1996-10-27,"n2",1985-11-15,"talek","1991-01-19","1996-10-27",226,62,0.274336283185841,129,27,0.209302325581395,0.119469026548673
"0.7","positive","ap",1991-01-21,"m","r",1988-07-11,1989-01-15,1991-03-11,"coch",1988-06-15,"talek","1991-01-21","1991-03-11",4,0,0,4,0,0,0
"0.71","positive","ua",1994-06-26,"f","r",1987-08-01,,2001-05-05,"79",1987-03-01,"talek","1994-06-26","2001-05-05",240,32,0.133333333333333,119,8,0.0672268907563025,0.0333333333333333
"0.82","positive","23s",1991-02-25,"f","r",1983-06-01,,1995-03-25,"27",1983-06-01,"talek","1991-02-25","1995-03-25",163,25,0.153374233128834,100,9,0.09,0.0552147239263804
"0.59","positive","kb",1991-02-28,"f","r",1978-01-01,,1995-06-23,,1978-01-01,"talek","1991-02-28","1995-06-23",168,24,0.142857142857143,104,10,0.0961538461538462,0.0595238095238095
"0.88","positive","mw",1991-03-04,"f","r",1988-06-22,,1991-11-15,"03",1987-05-01,"talek","1991-03-04","1991-11-15",36,5,0.138888888888889,27,3,0.111111111111111,0.0833333333333333
"0.72","positive","en",1991-07-06,"m","i",1987-07-01,,1994-08-25,,1984-09-27,"talek","1991-07-06","1994-08-25",139,15,0.107913669064748,90,6,0.0666666666666667,0.0431654676258993
"0.59","positive","fn",1991-07-11,"m","i",1990-12-03,,1999-06-24,,1986-09-15,"talek","1991-07-11","1999-06-24",317,65,0.205047318611987,175,22,0.125714285714286,0.0694006309148265
"0.85","positive","lg",1994-06-28,"f","r",1982-06-01,,1999-04-16,"11",1982-06-01,"talek","1994-06-28","1999-04-16",166,22,0.132530120481928,76,7,0.0921052631578947,0.0421686746987952
"0.55","positive","es",1991-08-22,"f","r",1984-06-01,,1996-05-07,"11",1984-06-01,"talek","1991-08-22","1996-05-07",177,12,0.0677966101694915,101,5,0.0495049504950495,0.0282485875706215
"0.64","positive","pb",1991-09-16,"m","r",1988-06-27,,1990-12-16,"bsh",1987-11-01,"talek","1991-09-16","1990-12-16",0,0,,0,0,,
"0.45","doubtful","zip",1992-04-11,"m","i",1989-11-27,,1994-04-21,,1983-07-19,"talek","1989-11-27","1992-04-11",99,12,0.121212121212121,73,8,0.10958904109589,0.0808080808080808
"0.81","positive","hol",1992-10-25,"m","i",1988-09-11,,1993-03-29,,1982-08-01,"talek","1992-10-25","1993-03-29",21,2,0.0952380952380952,13,1,0.0769230769230769,0.0476190476190476
"0.47","doubtful","gan",1992-06-07,"f","r",1988-12-15,1989-06-07,1994-08-02,"es",1988-10-30,"talek","1989-06-07","1992-06-07",116,7,0.0603448275862069,84,4,0.0476190476190476,0.0344827586206897
"0.56","positive","hg",1999-08-17,"f","r",1992-10-23,1993-04-12,2003-01-22,"dj",1992-09-15,"talek","1999-08-17","2003-01-22",123,24,0.195121951219512,70,8,0.114285714285714,0.0650406504065041
"0.12","negative","nav",1993-07-21,"f","r",1992-11-29,1993-06-08,2016-07-20,"coch",1992-11-07,"talek","1993-06-08","1993-07-21",0,0,,0,0,,
"0.52","positive","jj",1993-08-12,"f","r",1992-10-23,1993-03-29,2003-01-24,"dj",1992-09-15,"talek","1993-08-12","2003-01-24",335,47,0.140298507462687,172,10,0.0581395348837209,0.0298507462686567
"0.83","positive","cr",1994-05-24,"f","r",1993-09-09,1994-04-02,2002-03-03,"ot",1993-08-15,"talek","1994-05-24","2002-03-03",294,38,0.129251700680272,152,14,0.0921052631578947,0.0476190476190476
"0.46","doubtful","ud",1994-05-25,"m","r",1993-10-25,1994-07-03,1996-09-15,"23s",1993-10-04,"talek","1994-07-03","1994-05-25",0,0,,0,0,,
"0.72","positive","par",1994-06-23,"f","r",1993-08-16,1994-01-13,2004-02-10,"gw",1993-07-15,"talek","1994-06-23","2004-02-10",330,29,0.0878787878787879,169,14,0.0828402366863905,0.0424242424242424
"0.73","positive","jb",1994-07-04,"f","r",1993-07-21,1993-12-12,1997-12-03,"bsh",1993-06-26,"talek","1994-07-04","1997-12-03",117,23,0.196581196581197,49,5,0.102040816326531,0.0427350427350427
"0.06","negative","scby",1994-09-23,"f","r",1994-02-22,,1994-11-05,"sd",1994-01-27,"talek","1995-01-27","1994-09-23",0,0,,0,0,,
"0.1","negative","irq",1994-09-25,"m","r",1994-02-14,1994-11-30,1996-10-13,"coch",1994-01-10,"talek","1994-11-30","1994-09-25",0,0,,0,0,,
"0.89","positive","kip",1994-12-18,"f","r",1993-12-15,1994-08-23,2000-09-26,"who",1993-12-10,"talek","1994-12-18","2000-09-26",229,34,0.148471615720524,112,9,0.0803571428571429,0.0393013100436681
"0.12","negative","wm",1995-02-09,"f","r",1994-07-29,1995-01-24,1995-03-13,"jab",1994-07-07,"talek","1995-01-24","1995-02-09",1,0,0,0,0,,0
"0.81","positive","zulu",1995-02-10,"m","r",1994-05-30,1995-01-28,1997-08-31,"pt",1994-05-01,"talek","1995-02-10","1997-08-31",106,16,0.150943396226415,45,2,0.0444444444444444,0.0188679245283019
"0.1","negative","wr",1995-02-12,"f","r",1994-07-08,1995-01-25,2007-02-25,"bb",1994-06-22,"talek","1995-01-25","1995-02-12",3,0,0,0,0,,0
"0.62","positive","mh",1995-03-06,"f","r",1994-07-08,1995-01-26,1996-03-12,"bb",1994-06-22,"talek","1995-03-06","1996-03-12",28,4,0.142857142857143,12,1,0.0833333333333333,0.0357142857142857
"0.27","negative","mp",1995-04-10,"f","r",1994-08-14,1995-03-18,2013-07-13,"dj",1994-07-23,"talek","1995-03-18","1995-04-10",3,0,0,2,0,0,0
"0.1","negative","dd",1995-04-13,"m","r",1994-08-14,1995-03-18,2000-10-17,"dj",1994-07-23,"talek","1995-03-18","1995-04-13",3,0,0,2,0,0,0
"0.6","positive","amar",1995-10-25,"f","r",1995-01-31,1995-10-24,2003-06-13,"ua",1995-01-25,"talek","1995-10-25","2003-06-13",295,39,0.132203389830508,155,9,0.0580645161290323,0.0305084745762712
"0.14","negative","kon",1995-11-02,"m","r",1995-01-31,1995-10-24,2000-06-16,"ua",1995-01-25,"talek","1995-10-24","1995-11-02",0,0,,0,0,,
"0.43","doubtful","lop",1996-02-26,"f","r",1995-03-27,1995-10-22,1997-03-07,"who",1995-02-15,"talek","1995-10-22","1996-02-26",8,1,0.125,4,1,0.25,0.125
"0.54","positive","jone",1996-06-08,"f","r",1995-09-06,1996-04-19,1997-05-25,"jab",1995-08-01,"talek","1996-06-08","1997-05-25",44,6,0.136363636363636,19,1,0.0526315789473684,0.0227272727272727
"0.03","negative","rinc",1996-06-08,"m","r",1995-09-06,1996-04-19,1997-05-09,"jab",1995-08-01,"talek","1996-04-19","1996-06-08",7,1,0.142857142857143,4,1,0.25,0.142857142857143
"0.57","positive","mrph",1997-06-07,"f","r",1996-07-22,1996-12-29,2011-04-12,"bsh",1996-06-25,"talek","1997-06-07","2011-04-12",455,104,0.228571428571429,271,35,0.129151291512915,0.0769230769230769
"0.44","doubtful","rv",1990-12-07,"f","r",1990-06-26,1990-12-31,1997-04-27,"gw",1990-05-15,"talek","1990-12-31","1990-12-07",0,0,,0,0,,
"0.15","negative","kang",1997-06-09,"m","r",1996-10-11,1997-05-13,1998-02-15,"lg",1996-10-07,"talek","1997-05-13","1997-06-09",6,0,0,5,0,0,0
"0.6","positive","gonz",1997-06-09,"m","r",1996-10-03,1997-05-13,1999-03-20,"hob",1996-09-06,"talek","1997-06-09","1999-03-20",64,7,0.109375,32,3,0.09375,0.046875
"0.05","negative","nod",1997-06-11,"m","r",1996-11-27,1997-05-25,2001-02-15,"ua",1996-10-13,"talek","1997-05-25","1997-06-11",4,0,0,3,0,0,0
"0.51","positive","darw",1997-06-11,"m","r",1996-08-20,1997-01-02,2002-03-25,"jb",1996-07-01,"talek","1997-06-11","2002-03-25",194,16,0.0824742268041237,109,6,0.055045871559633,0.0309278350515464
"0.09","negative","linc",1997-06-30,"m","r",1996-11-02,1997-06-29,2001-01-05,"nav",1996-10-23,"talek","1997-06-29","1997-06-30",0,0,,0,0,,
"0.4","negative","wash",1997-06-30,"m","r",1996-11-02,1997-06-15,1997-08-27,"nav",1996-10-23,"talek","1997-06-15","1997-06-30",1,0,0,1,0,0,0
"0.17","negative","mali",1997-07-04,"f","r",1996-11-11,1997-06-09,2006-01-13,"jab",1996-10-13,"talek","1997-06-09","1997-07-04",4,0,0,1,0,0,0
"0.38","negative","dna",1997-11-07,"m","r",1997-01-25,1997-06-14,1999-12-09,"gil",1996-12-23,"talek","1997-06-14","1997-11-07",14,1,0.0714285714285714,4,0,0,0
"0.34","negative","puc",1998-03-14,"f","r",1997-07-20,1997-11-23,2006-12-23,"ger",1997-06-01,"talek","1997-11-23","1998-03-14",8,0,0,5,0,0,0
"1.04","positive","csn",1999-01-29,"f","r",1998-07-15,1998-07-15,2005-05-03,"bsh",1998-02-15,"talek","1999-01-29","2005-05-03",223,51,0.228699551569507,133,20,0.150375939849624,0.0896860986547085
"0.1","negative","her",1999-08-11,"m","r",1999-01-17,1999-07-19,2003-01-10,"mrph",1998-11-20,"talek","1999-07-19","1999-08-11",7,0,0,3,0,0,0
"0.08","negative","sch",1999-06-24,"m","r",1998-12-17,1999-07-18,2000-04-05,"ua",1998-11-20,"talek","1999-07-18","1999-06-24",0,0,,0,0,,
"0.64","positive","cpa",1999-07-04,"m","r",1998-12-01,1999-06-20,2002-02-09,"sx",1998-11-18,"talek","1999-07-04","2002-02-09",100,15,0.15,57,5,0.087719298245614,0.05
"0.02","negative","tsa",1999-07-04,"m","r",1999-02-01,1999-08-13,2001-08-02,"par",1998-12-10,"talek","1999-08-13","1999-07-04",0,0,,0,0,,
"0.16","negative","jut",1999-07-11,"f","r",1999-01-29,1999-06-20,2003-11-24,"ger",1998-11-30,"talek","1999-06-20","1999-07-11",0,0,,0,0,,
"0.16","negative","gdz",1999-07-21,"m","r",1999-01-05,1999-07-19,2000-09-29,"kip",1998-12-03,"talek","1999-07-19","1999-07-21",0,0,,0,0,,
"0.07","negative","ind",1999-10-04,"m","r",1999-01-29,1999-08-06,2002-08-18,"bail",1998-12-02,"talek","1999-08-06","1999-10-04",7,0,0,2,0,0,0
"0.1","negative","coo",1999-09-12,"f","r",1999-01-05,1999-07-22,2005-12-07,"kip",1998-12-03,"talek","1999-07-22","1999-09-12",10,0,0,3,0,0,0
"0.07","negative","cam",1999-09-21,"f","r",1998-12-21,1999-08-05,2006-10-23,"jj",1998-11-21,"talek","1999-08-05","1999-09-21",6,1,0.166666666666667,1,0,0,0
"0.51","positive","zim",1999-11-07,"f","r",1999-01-07,1999-08-04,2002-12-12,"cr",1998-11-29,"talek","1999-11-07","2002-12-12",113,9,0.079646017699115,67,3,0.0447761194029851,0.0265486725663717
"0.58","positive","ath",1999-11-26,"f","r",1999-01-17,1999-07-19,2004-03-31,"mrph",1998-11-20,"talek","1999-11-26","2004-03-31",138,23,0.166666666666667,79,3,0.0379746835443038,0.0217391304347826
"0.71","positive","cyp",1999-12-18,"m","r",1999-06-14,1999-12-06,1999-12-18,"bern",1999-05-13,"talek","1999-12-18","1999-12-18",2,1,0.5,1,1,1,0.5
"0.09","negative","pt",1991-11-13,"f","r",1991-05-09,1991-12-22,1996-07-14,"coch",1991-04-01,"talek","1991-12-22","1991-11-13",0,0,,0,0,,
"0.01","negative","who",1991-11-27,"f","r",1991-07-20,1992-03-24,2006-12-21,"bsh",1991-07-07,"talek","1992-03-24","1991-11-27",0,0,,0,0,,
