"","plate","spratio","diagnosis","hum.pop.den","sample","kay.code","hy.id","dart.date","sample.origin","notes.appearance","dart.year","dob.date","dob.event.data","disappeared.date","disappeared.event.status","disappeared.event.data","sex","status","mom","dad","number.littermates","litrank","toxo.status","age.mon.dart","dob.yr","age.cat.dart","hum.dist.dob","rank.dart","stan.rank.dart"
"15","plate2",0.58,"positive","hi",4171,"845","buar",2012-05-26,"blood",NA,2012,2009-12-18,"talek",NA,"dls","double check: alive but with disappeared date","f","r","hel",NA,"1","2","1",29.2,2009,"adult",NA,3,0.92
"16","plate2",0.52,"positive","hi",4154,"848","ziti",2013-06-05,"blood",NA,2013,2010-04-03,"talek",NA,"dls","double check: alive but with disappeared date","m","r","guci",NA,"1","2","1",38.1,2010,"adult",NA,NA,NA
"17","plate2",0.48,"doubtful","hi",7886,"555","tnks",2014-08-08,"blood",NA,2014,2013-03-15,"talek",NA,"dls","double check: alive but with disappeared date","f","r","alfe",NA,"0",NA,"0",16.8,2013,"subadult","hi",NA,NA
"18","plate2",0.22,"negative","hi",4786,"627","twst",2012-05-07,"blood",NA,2012,2011-03-03,"talek",2018-03-30,"dls","double check: alive but with disappeared date","f","r","adon",NA,"0",NA,"0",14.2,2011,"subadult",NA,NA,NA
"19","plate2",0.8,"positive","hi",3993,"630","alde",2012-04-30,"blood",NA,2012,2010-11-01,"talek",2013-03-21,"dls","dispersed","m","r","loki",NA,"1","1","1",17.9,2010,"subadult",NA,NA,NA
"20","plate2",0.51,"positive","hi",4791,"636","bora",2012-06-01,"blood",NA,2012,2010-12-23,"talek",2018-06-19,"dls","","f","r","art",NA,"0",NA,"1",17.3,2010,"subadult",NA,NA,NA
"21","plate2",0.89,"positive","hi",4783,"647","ted",2012-05-24,"blood",NA,2012,2010-10-30,"talek",2018-03-25,"dls","double check: alive but with disappeared date","f","r","aqua",NA,"1","2","1",18.8,2010,"subadult",NA,NA,NA
"22","plate2",0.7,"positive","hi",4795,"648","endr",2012-05-25,"blood",NA,2012,2010-11-01,"talek",2014-04-03,"dead","poison (april 2014 incident)","m","r","loki",NA,"1","2","1",18.8,2010,"subadult",NA,NA,NA
"23","plate2",0.49,"positive","hi",4812,"652","neon",2012-06-15,"blood",NA,2012,2010-12-26,"talek",NA,"dls","double check: alive but with disappeared date","f","r","yog",NA,"0",NA,"1",17.6,2010,"subadult",NA,NA,NA
"24","plate2",0.7,"positive","hi",3695,"658","gala",2013-09-04,"blood","white",2013,2012-01-06,"talek",2014-04-12,"dead","humans (poison - april 2014)","f","r","hel",NA,"0",NA,"1",19.9,2012,"subadult","hi",NA,NA
"25","plate2",0.68,"positive","hi",10098,"659","brgr",2013-05-28,"blood","cream; normal, challenge darting - 14 min, date on vial says 6/3/15",2013,2011-10-30,"talek",NA,"dls","double check: alive but with disappeared date","f","r","cen",NA,"1","1","1",18.9,2011,"subadult",NA,NA,NA
"26","plate2",0.65,"positive","hi",6944,"660","gsmk",2013-05-24,"blood","pink",2013,2011-12-02,"talek",2013-08-17,"dls","inferred dead","f","r","sbl",NA,"1","2","1",17.7,2011,"subadult",NA,NA,NA
"27","plate2",0.88,"positive","hi",6918,"664","fxtr",2013-05-08,"blood",NA,2013,2011-10-16,"talek",2016-05-09,"dls","inferred dead","f","r","dra",NA,"1","1","1",18.7,2011,"subadult",NA,NA,NA
"28","plate2",0.67,"positive","hi",3773,"665","bata",2013-06-02,"blood",NA,2013,2011-11-16,"talek",2013-12-20,"dls","dispersed","m","r","hex",NA,"1","2","1",18.5,2011,"subadult",NA,NA,NA
"29","plate2",0.72,"positive","hi",6899,"676","lust",2013-03-14,"blood",NA,2013,2011-09-06,"talek",NA,"dls","double check: alive but with disappeared date","f","r","arg",NA,"1","2","1",18.2,2011,"subadult",NA,NA,NA
"30","plate2",0.55,"positive","hi",6965,"688","xena",2013-05-05,"blood",NA,2013,2011-11-25,"talek",2014-11-12,"dls","","m","r","loki",NA,"0",NA,"1",17.3,2011,"subadult",NA,NA,NA
"31","plate2",0.39,"negative","hi",3779,"690","bnt",2013-05-07,"blood",NA,2013,2011-09-25,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mono",NA,"0",NA,"0",19.4,2011,"subadult",NA,NA,NA
"32","plate2",0.5,"positive","hi",3765,"837","zion",2012-06-18,"blood",NA,2012,2010-02-19,"talek",2013-05-06,"dls","inferred dead","f","r","sbl",NA,"1","2","1",27.9,2010,"adult",NA,23,0.12
"33","plate2",0.32,"negative","hi",5179,"842","hrpy",2012-05-24,"blood",NA,2012,2009-10-29,"talek",2018-02-27,"dls","","f","r","pan",NA,NA,NA,"0",30.8,2009,"adult",NA,9,0.68
"34","plate2",0.71,"positive","low",7845,"1008","pike",2015-05-17,"blood",NA,2015,2007-10-30,"happy.zebra",NA,"dls","fate unknown","f","r","koi",NA,NA,NA,"1",90.5,2007,"adult","low",1,1
"35","plate2",0.64,"positive","low",7799,"1156","ring",2015-01-29,"blood",NA,2015,2009-11-30,"happy.zebra",NA,"","","f","r","ao",NA,"1","1","1",62,2009,"adult","low",18,-0.888888888888889
"36","plate2",0.9,"positive","low",7814,"1166","csby",2015-03-10,"blood",NA,2015,2007-12-30,"happy.zebra",NA,"dls","fate unknown","f","r","spb",NA,NA,NA,"1",86.3,2007,"adult","low",15,-0.555555555555556
"37","plate2",0.46,"doubtful","low",4039,"1005","zoey",2012-06-22,"blood","p frozen on side",2012,NA,"serena.n",2013-03-26,"dls","","f","r","digs",NA,"1",NA,"0",NA,NA,"adult","low",5,0.6
"38","plate2",0.68,"positive","low",4035,"1015","peep",2012-06-30,"blood",NA,2012,NA,"serena.n",2013-01-24,"dls","","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",3,0.8
"39","plate2",0.52,"positive","low",4042,"1020","tnsl",2012-06-19,"blood","p frozen on side",2012,NA,"serena.n",2014-06-12,"dls","fate unknown","f","r","elf?",NA,NA,NA,"1",NA,NA,"adult","low",16,-0.5
"40","plate2",0.39,"doubtful","low",12107,"1022","wafl",2012-07-02,"blood","cream; normal, tube says ""hep. plasma 1 ml""",2012,2007-08-01,"serena.n",NA,"","","f","r",NA,NA,NA,NA,"0",59,2007,"adult","low",1,1
"41","plate2",0.58,"positive","low",12112,"1036","ema",2012-07-07,"blood","cream; normal",2012,NA,"serena.n",2016-03-13,"dls","fate unknown","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",17,-0.6
"42","plate2",0.51,"positive","low",3667,"1048","digs",2013-06-21,"blood","white",2013,NA,"serena.n",2015-03-31,"dead","","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",4,0.7
"43","plate2",0.53,"positive","low",6950,"1088","shrm",2013-02-08,"blood",NA,2013,NA,"serena.n",2016-10-16,"dead","unknown","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",6,0.5
"44","plate2",0.63,"positive","low",6999,"1095","hndy",2012-06-29,"blood",NA,2012,2008-01-01,"serena.n",2014-03-27,"dls","","f","r","shrm",NA,NA,NA,"1",53.9,2008,"adult","low",13,-0.2
"45","plate2",0.45,"doubtful","low",3613,"1096","hucn",2014-07-02,"blood","white",2014,2011-09-12,"serena.n",2014-09-24,"dls","double check: alive but with disappeared date","m","r","rbc",NA,"1","1","0",33.6,2011,"adult","low",NA,NA
"46","plate2",0.62,"positive","low",13634,"1190","mchl",2015-07-16,"blood","cream; normal; says ""junk plasma 4""",2015,2012-11-17,"serena.n",2016-08-31,"dls","","m","r","ele",NA,"1","1","1",31.9,2012,"adult","low",NA,NA
"47","plate2",0.67,"positive","low",7789,"1137","uzi",2015-03-19,"blood",NA,2015,2012-08-21,"serena.n",2016-03-11,"dls","double check: alive but with disappeared date","m","r","angi",NA,"0",NA,"1",30.9,2012,"adult","low",NA,NA
"48","plate2",0.71,"positive","low",12109,"1009","slin",2012-07-22,"blood","cream; normal",2012,NA,"serena.s",2018-08-14,"dls","","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",3,0.75
"49","plate3",0.8,"positive","low",6917,"1013","bart",2012-08-08,"blood",NA,2012,NA,"serena.s",2014-09-14,"dls","fate unknown","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",4,0.625
"50","plate3",0.76,"positive","low",3777,"1021","mtn",2012-07-21,"blood",NA,2012,NA,"serena.s",2016-12-22,"dls","","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",15,-0.75
"51","plate3",0.46,"doubtful","low",6933,"1071","taj",2012-09-06,"blood",NA,2012,NA,"serena.s",2018-01-08,"dls","fate unknown","f","r",NA,NA,NA,NA,"0",NA,NA,"adult","low",8,0.125
"52","plate3",0.78,"positive","low",4036,"1074","java",2013-01-10,"blood","pink",2013,NA,"serena.s",2017-11-26,"dls","","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",1,1
"53","plate3",0.68,"positive","low",3780,"1092","clov",2012-06-24,"blood",NA,2012,NA,"serena.s",2016-08-24,"dls","fate unknown","f","r",NA,NA,NA,NA,"1",NA,NA,"adult","low",2,0.875
"54","plate3",0.84,"positive","low",7947,"1162","trni",2015-03-04,"blood","pink",2015,2012-07-04,"serena.n",NA,"dls","","m","r","wafl",NA,"0",NA,"1",32,2012,"adult","low",NA,NA
"55","plate3",0.8,"positive","low",7508,"10","bb",1993-12-08,"blood",NA,1993,1989-07-13,"talek",1998-12-29,"dead","humans (spear)","f","r","bsh",NA,"1","1","1",52.9,1989,"adult","low",2,0.9
"56","plate3",0.78,"positive","low",4054,"105","tz",1993-08-11,"blood","p frozen at top",1993,NA,"talek",2000-02-18,"dls","dispersed","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"57","plate3",0.48,"doubtful","low",4109,"107","will",1994-04-26,"blood","frozen on side",1994,NA,"talek",1996-12-23,"dls","dispersed","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",NA,NA,NA
"58","plate3",0.65,"positive","low",4378,"11","dave",1990-08-03,"blood",NA,1990,1986-09-15,"talek",1990-11-12,"dls","dispersed","m","r","27",NA,"1",NA,"1",46.6,1986,"adult","low",NA,NA
"59","plate3",0.49,"doubtful","low",7074,"112","mike",1994-06-10,"blood","red; tube incorrectly says '628' and '10/5/11'",1994,NA,"talek",1997-11-19,"dead","lions","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",NA,NA,NA
"60","plate3",0.68,"positive","low",4308,"12","sher",1990-08-07,"blood","pink",1990,1987-08-01,"talek",2001-06-27,"dls","fate unknown","m","r","kb","65","0","1","1",36.2,1987,"adult","low",NA,NA
"61","plate3",0.81,"positive","low",13591,"126","mig",1994-09-20,"blood","clear; appears empty",1994,NA,"talek",2010-02-02,"dls","fate unknown","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"62","plate3",0.56,"positive","low",5551,"164","stg",1997-07-02,"blood",NA,1997,NA,"talek",1999-09-20,"dls","dispersed","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"63","plate3",0.61,"positive","low",3869,"167","gob",1997-07-17,"blood","no datre on tube, looked at tbldarting",1997,NA,"talek",2002-06-09,"dls","dispersed","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"64","plate3",0.48,"doubtful","low",4059,"172","pos",1996-07-08,"blood","p frozen on side; min1",1996,NA,"talek",1999-03-25,"dls","fate unknown","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",NA,NA,NA
"65","plate3",0.38,"negative","low",5677,"175","rs",1997-06-04,"blood","edta. frozen in cap",1997,NA,"talek",1999-12-15,"dead","","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",NA,NA,NA
"66","plate3",0.65,"positive","low",5682,"178","bp",1997-07-15,"blood","edta; pink; frozen on side",1997,NA,"talek",2002-04-15,"dls","dispersed","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"67","plate3",0.6,"positive","low",4118,"179","sim",1996-07-28,"blood","tube incorrectly says 7/29 but it's actually 7/28; min1",1996,NA,"talek",2000-03-17,"dls","humans (us)","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"68","plate3",0.86,"positive","low",7452,"181","sein",1997-07-16,"blood","edta",1997,1995-03-22,"talek",2002-03-09,"dead","humans (masai?)","f","r","bsh","rcn","1","2","1",27.8,1995,"adult","low",2,0.928571428571429
"69","plate3",0.64,"positive","low",7446,"183","bos",1997-01-22,"blood","""min0""",1997,NA,"talek",2002-06-28,"dls","fate unknown","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"70","plate3",0.95,"positive","low",7451,"189","chic",1997-11-06,"blood","""min1""",1997,NA,"talek",1998-04-09,"dls","dispersed","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"71","plate3",0.86,"positive","low",7511,"19","q",1990-12-05,"blood","color pink",1990,1988-10-29,"talek",1993-03-06,"dls","dispersed","m","r","bsh",NA,"0","1","1",25.2,1988,"adult","low",NA,NA
"72","plate3",0.47,"doubtful","low",4989,"21","sy",1990-12-19,"blood","frozen on side",1990,NA,"talek",1997-02-12,"dls","fate unknown","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",NA,NA,NA
"73","plate3",0.71,"positive","low",4361,"221","bm",1997-07-27,"blood","frozen on side; min1",1997,1989-07-17,"talek",1999-08-18,"dls","fate unknown","f","r","23s",NA,"1","2","1",96.3,1989,"adult","low",27,-0.857142857142857
"74","plate3",0.58,"positive","low",5996,"225","vgs",1999-03-05,"blood","edta;min1",1999,NA,"talek",2006-01-25,"dead","snakebite?","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"75","plate3",0.77,"positive","low",6023,"227","exc",1999-02-03,"blood","edta",1999,NA,"",2000-09-29,"dead","unknown","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"76","plate3",0.82,"positive","low",3872,"23","gw",1990-12-22,"blood",NA,1990,1978-01-01,"talek",1995-12-12,"dls","inferred dead","f","r",NA,NA,NA,NA,"1",155.7,1978,"adult","low",11,0
"77","plate3",1.09,"positive","low",5003,"24","mrb",1990-12-22,"blood",NA,1990,NA,"talek",1992-06-01,"dead","hyenas","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"78","plate3",0.66,"positive","low",5395,"240","mer",1999-08-01,"blood","frozen on side",1999,NA,"",2004-09-21,"dls","fate unknown","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"79","plate3",1.08,"positive","low",5009,"25","coch",1993-12-15,"blood",NA,1993,1985-02-01,"talek",1995-09-02,"dead","lions","f","r",NA,NA,NA,NA,"1",106.4,1985,"adult","low",5,0.6
"80","plate3",0.39,"negative","low",3873,"26","chy",1991-11-29,"blood",NA,1991,1989-10-14,"talek",1997-03-05,"dls","","m","r","coch",NA,"1","2","0",25.5,1989,"adult","low",NA,NA
"81","plate3",0.73,"positive","low",4598,"269a","dub",1999-10-19,"blood","edta",1999,NA,"",2016-06-04,"dead","lions","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"82","plate3",1.05,"positive","low",6879,"27","bsh",1994-05-02,"blood",NA,1994,1983-01-01,"talek",1999-05-29,"dead","kidney failure","f","r","kb",NA,NA,NA,"1",136,1983,"adult","low",1,1
"83","plate3",0.54,"positive","low",3836,"28","quai",1990-12-28,"blood",NA,1990,NA,"talek",1993-06-21,"dls","fate unknown","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"84","plate3",0.59,"positive","low",5745,"30","dj",1991-01-19,"blood","pink",1991,1985-11-15,"talek",1996-10-27,"dls","lions","f","r","n2",NA,NA,NA,"1",62.1,1985,"adult","low",3,0.8
"85","plate3",0.7,"positive","low",4557,"33","ap",1991-01-21,"blood",NA,1991,1988-06-15,"talek",1995-05-26,"","","m","r","coch",NA,"0","1","1",31.2,1988,"adult","low",NA,NA
"86","plate3",0.71,"positive","low",3770,"36","ua",1994-06-26,"blood","says ""junk p"" on tube",1994,1987-03-01,"talek",2001-05-05,"dls","lions","f","r","79",NA,"0","1","1",87.8,1987,"adult","low",11,0.130434782608696
"87","plate3",0.82,"positive","low",5762,"38","23s",1991-02-25,"blood","pink",1991,1983-06-01,"talek",1995-03-25,"dls","lions","f","r","27",NA,NA,NA,"1",92.8,1983,"adult","low",15,-0.4
"88","plate3",0.59,"positive","low",4368,"39","kb",1991-02-28,"blood","pink",1991,1978-01-01,"talek",1995-06-23,"dls","inferred dead","f","r",NA,NA,NA,NA,"1",157.9,1978,"adult","low",2,0.9
"89","plate3",0.88,"positive","low",3795,"40","mw",1991-03-04,"blood",NA,1991,1987-05-01,"talek",1991-11-15,"dead","unknown","f","r","03",NA,"0","1","1",46.1,1987,"adult","low",4,0.7
"90","plate3",0.72,"positive","low",5236,"47","en",1991-07-06,"blood","tube says 7/7/91",1991,NA,"talek",1994-08-25,"dls","dispersed","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"91","plate4",0.59,"positive","low",7322,"52","fn",1991-07-11,"blood",NA,1991,NA,"talek",1999-06-24,"dls","fate unknown","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"92","plate4",0.85,"positive","low",7299,"55","lg",1994-06-28,"blood","color red",1994,1982-06-01,"talek",1999-04-16,"dls","inferred dead","f","r","11",NA,NA,NA,"1",144.9,1982,"adult","low",23,-0.91304347826087
"93","plate4",0.55,"positive","low",4335,"61","es",1991-08-22,"blood",NA,1991,1984-06-01,"talek",1996-05-07,"dls","inferred dead","f","r","11",NA,NA,NA,"1",86.7,1984,"adult","low",17,-0.6
"94","plate4",0.64,"positive","low",7475,"66","pb",1991-09-16,"blood",NA,1991,1987-11-01,"talek",1995-11-05,"dls","unknown","m","r","bsh","46","0","1","1",46.5,1987,"adult","low",NA,NA
"95","plate4",0.45,"doubtful","low",4116,"79","zip",1992-04-11,"blood","sample reads ""5/11/92"" but excel has ""4/11/92"" as the date",1992,NA,"talek",1994-04-21,"dls","fate unknown","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",NA,NA,NA
"96","plate4",0.81,"positive","low",4369,"9","hol",1992-10-25,"blood",NA,1992,NA,"talek",1993-03-30,"dead","lions","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",NA,NA,NA
"97","plate4",0.47,"doubtful","low",4860,"90","gan",1992-06-07,"blood",NA,1992,1988-10-30,"talek",1994-08-02,"dls","inferred dead","f","r","es",NA,"1","2","0",43.2,1988,"adult","low",18,-0.888888888888889
"98","plate4",0.56,"positive","low",5695,"991","hg",1999-08-17,"blood","edta",1999,1992-09-15,"talek",2003-01-22,"dls","inferred dead","f","r","dj","zip","1","1","1",83,1992,"adult","low",11,0.333333333333333
"99","plate4",0.73,"positive","low",4377,"121","jb",1994-07-04,"blood",NA,1994,1993-06-26,"talek",1997-12-03,"dls","inferred dead","f","r","bsh","fn","1","1","1",12.3,1993,"subadult","low",NA,NA
"100","plate4",0.89,"positive","low",12165,"131","kip",1994-12-18,"blood","cream; normal",1994,1993-12-10,"talek",2000-09-26,"dls","inferred dead","f","r","who","fn","1","1","1",12.3,1993,"subadult","low",NA,NA
"101","plate4",0.43,"doubtful","low",5532,"162","lop",1996-02-26,"blood",NA,1996,1995-02-15,"talek",1997-03-01,"dead","","f","r","who",NA,"0",NA,"0",12.4,1995,"subadult","low",NA,NA
"102","plate5",0.58,"positive","low",5313,"286","ath",1999-11-26,"blood",NA,1999,1998-11-20,"talek",2004-03-31,"dead","snake bite","f","r","mrph",NA,"1","1","1",12.2,1998,"subadult","low",NA,NA
"103","plate5",0.76,"positive","low",4314,"124","rm",1994-08-27,"blood","frozen on side, says rum on tube",1994,1993-07-07,"talek",1996-09-12,"dls","inferred dead","f","r","ua",NA,"1","1","1",13.7,1993,"subadult","low",NA,NA
"104","plate5",0.87,"positive","low",4111,"130","kl",1994-12-17,"blood","frozen on side",1994,1993-07-07,"talek",1994-12-30,"dls","inferred dead","f","r","ua","sy","1","2","1",17.3,1993,"subadult","low",NA,NA
"105","plate5",0.08,"negative","low",5658,"173","pf",1996-06-21,"blood",NA,1996,1995-05-20,"talek",1996-07-28,"dead","humans","m","r","bail",NA,"0",NA,"0",13.1,1995,"subadult","low",NA,NA
"106","plate5",0.94,"positive","low",5671,"174","arse",1996-08-09,"blood",NA,1996,1995-03-22,"talek",1996-08-09,"dead","humans (us)","f","r","bsh","rcn","1","1","1",16.6,1995,"subadult","low",NA,NA
"107","plate5",0.97,"positive","low",7534,"18","bud",1990-12-01,"blood","color red",1990,1989-07-13,"talek",1993-05-16,"dls","dispersed","m","r","bsh",NA,"1","2","1",16.6,1989,"subadult","low",NA,NA
"108","plate5",0.77,"positive","low",5020,"202","oly",1997-06-12,"blood",NA,1997,1995-11-07,"talek",1999-06-20,"dls","dispersed","m","r","gil","fn","1","1","1",19.2,1995,"subadult","low",NA,NA
"109","plate5",0.65,"positive","low",6016,"223","sks",1997-07-31,"blood",NA,1997,1995-10-16,"talek",1998-04-21,"dls","dispersed","m","r","ot","rcn","1","2","1",21.5,1995,"subadult","low",NA,NA
"110","plate5",0.9,"positive","low",4115,"237","ldv",1999-03-07,"blood",NA,1999,1997-11-24,"talek",2007-04-23,"dead","lions","m","r","hg","mer","1","2","1",15.4,1997,"subadult","low",NA,NA
"111","plate5",0.62,"positive","low",4094,"243","yet",1998-10-20,"blood",NA,1998,1997-07-09,"talek",2001-03-13,"dls","dispersed","m","r","kip","mike","1","1","1",15.4,1997,"subadult","low",NA,NA
"112","plate5",0.44,"doubtful","low",4328,"251","cuj",1999-05-11,"blood","frozen on side",1999,1997-07-09,"talek",2001-06-03,"dls","dispersed","m","r","kip",NA,"1","2","0",22,1997,"subadult","low",NA,NA
"113","plate5",0.41,"doubtful","low",5317,"253","ali",1999-04-26,"blood",NA,1999,1997-08-04,"talek",2018-02-06,"dls","double check: alive but with disappeared date","f","r","bb","mike","1","1","0",20.7,1997,"subadult","low",NA,NA
"114","plate5",0.66,"positive","low",4588,"265","foz",1999-08-19,"blood",NA,1999,1997-12-15,"talek",2011-03-28,"dead","lions","m","r","hob","mike","1",NA,"1",20.1,1997,"subadult","low",NA,NA
"115","plate5",0.45,"doubtful","low",4682,"278","sco",1999-10-25,"blood","edta",1999,1997-12-15,"talek",2002-07-24,"dls","dispersed","m","r","hob","mike","1",NA,"0",22.3,1997,"subadult","low",NA,NA
"116","plate5",0.76,"positive","low",3977,"29","sx",1990-12-28,"blood","p frozen on side of tube",1990,1989-10-14,"talek",2000-07-07,"dls","inferred dead","f","r","coch",NA,"1","1","1",14.5,1989,"subadult","low",NA,NA
"117","plate5",0.45,"doubtful","low",4375,"51","pp",1991-07-11,"blood",NA,1991,1990-06-03,"talek",1993-10-12,"dls","dispersed","m","r","dps",NA,"0","1","0",13.2,1990,"subadult","low",NA,NA
"118","plate4",0.12,"negative","low",7392,"100","nav",1993-07-21,"blood",NA,1993,1992-11-07,"talek",2016-07-20,"dls","inferred dead","f","r","coch","en","1","2","0",8.4,1992,"cub","low",5,0.6
"119","plate4",0.52,"positive","low",5604,"106","jj",1993-08-12,"blood","no id on sample",1993,1992-09-15,"talek",2003-01-29,"dead","","f","r","dj","zip","1","2","1",10.9,1992,"cub","low",4,0.7
"120","plate4",0.83,"positive","low",13587,"108","cr",1994-05-24,"blood","cream; normal",1994,1993-08-15,"talek",2002-03-03,"dls","inferred dead","f","r","ot",NA,"1","1","1",9.3,1993,"cub","low",10,0.217391304347826
"121","plate4",0.46,"doubtful","low",7142,"110","ud",1994-05-25,"blood","min1 vial says ""9/29/99""",1994,1993-10-04,"talek",1998-01-07,"dls","","m","r","23s",NA,"0",NA,"0",7.7,1993,"cub","low",17,-0.391304347826087
"122","plate4",0.72,"positive","low",4888,"119","par",1994-06-23,"blood","edta",1994,1993-07-15,"talek",2004-02-10,"dls","inferred dead","f","r","gw","rcn","0",NA,"1",11.3,1993,"cub","low",13,-0.0434782608695652
"123","plate4",0.06,"negative","low",5426,"127","scby",1994-09-23,"blood",NA,1994,1994-01-27,"talek",1994-11-05,"dead","unknown","f","r","sd","rcn","0",NA,"0",7.9,1994,"cub","low",14,-0.130434782608696
