"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","age.mon.lion","age.cat.lion","hum.dist.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","diagnosis.time","toxo.status"
"17",968,"t80249",3,FALSE,FALSE,"hel","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","mrph",NA,NA,NA,2006-11-11,NA,NA,NA,"dls","double check: alive but with disappeared date",2006-02-01,NA,"talek",2006-12-30,NA,NA,83.7,"adult","hi","hi","positive",2012-05-06,75.1,"adult","after","1"
"18",970,"t80249",3,FALSE,FALSE,"amaz","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","hel",NA,"1","1",2009-11-19,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-02-15,NA,"talek",2009-09-29,NA,NA,47.2,"adult","hi","hi","positive",2012-06-16,40,"adult","after","1"
"19",971,"t80249",3,FALSE,FALSE,"atac","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"f","r","hel",NA,"1","2",2009-10-18,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-02-15,NA,"talek",2009-07-15,NA,NA,47.2,"adult","hi","hi","positive",2012-06-13,39.9,"adult","after","1"
"20",972,"t80249",3,FALSE,FALSE,"pant","00-jan-00",1,"scan",NA,100,FALSE,NA,NA,"talek","o",2013-01-22,"06:19:00","06:48:00",2013,1,"m","r","hel",NA,"1","2",2011-06-13,NA,NA,NA,NA,NA,2010-12-21,NA,"talek",2011-09-20,NA,NA,25.1,"adult","hi","hi","positive",2013-05-23,29,"adult","before","1"
"21",975,"t9118",3,FALSE,FALSE,"dj","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","n2",NA,NA,NA,NA,NA,NA,1996-10-27,"dls","lions",1985-11-15,NA,"talek",NA,NA,NA,123.8,"adult","low","low","positive",1991-01-19,62.1,"adult","after","1"
"22",976,"t9118",3,FALSE,FALSE,"hg","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","dj","zip","1","1",1993-03-29,NA,NA,2003-01-22,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,41.8,"adult","low","low","positive",1999-08-17,83,"adult","before","1"
"23",978,"t9118",3,FALSE,FALSE,"bsh","00-jan-00",1,"dist",NA,15,FALSE,NA,NA,"talek","d",1996-03-11,"18:07:00","18:50:00",1996,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,158.3,"adult","low","low","positive",1994-05-02,136,"adult","after","1"
"24",1000,"t9118",3,FALSE,FALSE,"tz","00-jan-00",1,"so",NA,30,FALSE,NA,"scan","talek","d",1996-03-11,"18:07:00","18:50:00",1996,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult","after","1"
"25",1023,"t9185",3,FALSE,FALSE,"sx","00-jan-00",1,"scan",NA,10,FALSE,NA,"scan","talek","m",1996-05-09,"06:31:00","06:57:00",1996,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,78.8,"adult","low","low","positive",1990-12-28,14.5,"subadult","after","1"
"26",1027,"t9185",3,FALSE,FALSE,"sy","00-jan-00",1,"brt st/lk",NA,5,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,5,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1990-12-19,NA,"adult","after","0"
"27",1028,"t9185",3,FALSE,FALSE,"fn","00-jan-00",2,"brt st/lk",NA,5,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,4,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1991-07-11,NA,"adult","after","1"
"28",1049,"t9185",3,FALSE,FALSE,"tz","00-jan-00",2,"dist",NA,4,FALSE,NA,NA,"talek","m",1996-05-09,"06:31:00","06:57:00",1996,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult","after","1"
"29",1180,"t13536",3,TRUE,FALSE,"hg","00-jan-00",1,"dist",NA,10,FALSE,NA,"4 lions have left, 4 remain","talek","k",1997-09-15,"06:35:00","08:08:00",1997,2,"f","r","dj","zip","1","1",1993-03-29,NA,NA,2003-01-22,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,60,"adult","low","low","positive",1999-08-17,83,"adult","before","1"
"30",1184,"t13536",3,TRUE,FALSE,"chic","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","k",1997-09-15,"06:35:00","08:08:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-11-06,NA,"adult","before","1"
"31",1219,"t19570",3,TRUE,FALSE,"bos","00-jan-00",4,"brt soc snf",NA,20,FALSE,NA,NA,"talek","k",1999-08-18,"06:22:00","07:30:00",1999,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-01-22,NA,"adult","after","1"
"32",1221,"t19570",3,TRUE,FALSE,"sim","00-jan-00",4,"brt soc snf",NA,20,FALSE,NA,NA,"talek","k",1999-08-18,"06:22:00","07:30:00",1999,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult","after","1"
"33",1222,"t15170",3,TRUE,FALSE,"sx","00-jan-00",1,"dist",NA,10,FALSE,NA,NA,"talek","c",1998-07-28,"07:03:00","08:06:00",1998,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,105.4,"adult","low","low","positive",1990-12-28,14.5,"subadult","after","1"
"34",1223,"t15170",3,TRUE,FALSE,"vgs","00-jan-00",2,"dist",NA,20,FALSE,NA,NA,"talek","c",1998-07-28,"07:03:00","08:06:00",1998,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2006-01-25,"dead","snakebite?",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1999-03-05,NA,"adult","before","1"
"35",1244,"t18010",3,TRUE,FALSE,"gob","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-17,NA,"adult","after","1"
"36",1247,"t18010",3,TRUE,FALSE,"cuj","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","r","kip",NA,"1","2",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-08-06,NA,NA,21.7,"subadult","low","low","doubtful",1999-05-11,22,"subadult","before","0"
"37",1249,"t18010",3,TRUE,FALSE,"kip","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,64.7,"adult","low","low","positive",1994-12-18,12.3,"subadult","after","1"
"38",1251,"t18010",3,TRUE,FALSE,"bsh","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,195.9,"adult","low","low","positive",1994-05-02,136,"adult","after","1"
"39",1254,"t18010",3,TRUE,FALSE,"bos","00-jan-00",1,"so",NA,20,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-01-22,NA,"adult","after","1"
"40",1264,"t18010",3,TRUE,FALSE,"fn","00-jan-00",1,"dist",NA,5,FALSE,NA,NA,"talek","k",1999-05-01,"07:58:00","08:30:00",1999,3,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1991-07-11,NA,"adult","after","1"
"41",1310,"t22209",3,FALSE,FALSE,"bp","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","o",2000-02-24,"18:40:00","19:17:00",2000,3,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult","after","1"
"42",1313,"t22209",3,FALSE,FALSE,"mig","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","o",2000-02-24,"18:40:00","19:17:00",2000,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1994-09-20,NA,"adult","after","1"
"43",1315,"t22209",3,FALSE,FALSE,"sein","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","o",2000-02-24,"18:40:00","19:17:00",2000,2,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-03-09,"dead","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,59.1,"adult","low","low","positive",1997-07-16,27.8,"adult","after","1"
"44",1356,"t15357",3,TRUE,FALSE,"gob","00-jan-00",1,"dist",NA,25,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-17,NA,"adult","after","1"
"45",1368,"t15357",3,TRUE,FALSE,"bb","00-jan-00",6,"dist",NA,20,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,1,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,110.6,"adult","low","low","positive",1993-12-08,52.9,"adult","after","1"
"46",1371,"t15357",3,TRUE,FALSE,"sein","00-jan-00",9,"dist",NA,5,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,2,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-03-09,"dead","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,42.4,"adult","low","low","positive",1997-07-16,27.8,"adult","after","1"
"47",1372,"t15357",3,TRUE,FALSE,"pos","00-jan-00",10,"dist",NA,35,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-03-25,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1996-07-08,NA,"adult","after","0"
"48",1512,"t11417.2",3,TRUE,FALSE,"sim","00-jan-00",2,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult","after","1"
"49",1513,"t11417.2",3,TRUE,FALSE,"sks","00-jan-00",3,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"m","r","ot","rcn","1","2",1996-05-30,NA,NA,NA,NA,NA,1995-10-16,NA,"talek",1997-07-15,NA,NA,18.5,"subadult","low","low","positive",1997-07-31,21.5,"subadult","before","1"
"50",1514,"t11417.2",3,TRUE,FALSE,"gob","00-jan-00",4,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-17,NA,"adult","before","1"
"51",1515,"t11417.2",3,TRUE,FALSE,"sein","00-jan-00",5,"carry fd",NA,1,FALSE,"zebra bone","carries past lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,3,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-03-09,"dead","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,25.3,"adult","low","low","positive",1997-07-16,27.8,"adult","before","1"
"52",1516,"t11417.2",3,TRUE,FALSE,"bp","00-jan-00",6,"scan",NA,20,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult","before","1"
"53",1517,"t11417.2",3,TRUE,FALSE,"ua","00-jan-00",7,"scan",NA,20,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","79",NA,"0","1",NA,NA,NA,2001-05-05,"dls","lions",1987-03-01,NA,"talek",1988-08-19,NA,NA,122,"adult","low","low","positive",1994-06-26,87.8,"adult","after","1"
"54",1518,"t11417.2",3,TRUE,FALSE,"hg","00-jan-00",8,"carry fd",NA,10,FALSE,"zebra bone",NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","dj","zip","1","1",1993-03-29,NA,NA,2003-01-22,"dls","inferred dead",1992-09-15,NA,"talek",1993-08-06,NA,NA,55.5,"adult","low","low","positive",1999-08-17,83,"adult","before","1"
"55",1526,"t11417.2",3,TRUE,FALSE,"jb","00-jan-00",1,"mob",NA,5,FALSE,NA,"no reaction from lioness","talek","k",1997-04-30,"07:47:00","08:02:00",1997,2,"f","r","bsh","fn","1","1",1994-03-22,NA,NA,1997-12-03,"dls","inferred dead",1993-06-26,NA,"talek",1994-02-17,NA,NA,46.1,"adult","low","low","positive",1994-07-04,12.3,"subadult","after","1"
"56",1530,"t11417.2",3,TRUE,FALSE,"sx","00-jan-00",2,"scan",NA,30,FALSE,NA,NA,"talek","k",1997-04-30,"07:47:00","08:02:00",1997,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,90.5,"adult","low","low","positive",1990-12-28,14.5,"subadult","after","1"
"57",1561,"t74888",3,TRUE,FALSE,"obam","00-jan-00",2,"steals fd",NA,1,FALSE,"wildebeest scrap","steals from lion","talek","k",2011-11-18,"19:35:00","19:42:00",2011,3,"f","r","nav",NA,"1","2",2009-07-16,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2008-11-13,NA,"talek",2010-01-06,NA,NA,36.1,"adult",NA,"hi","positive",2012-06-07,42.8,"adult","before","1"
"58",1568,"t69651",3,FALSE,FALSE,"roos","00-jan-00",1,"app",NA,10,FALSE,NA,"lion t1 pt roos","talek","o",2010-05-20,"07:08:00","07:24:00",2010,7,"f","r","nav",NA,NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",2007-03-02,NA,"talek",2008-07-24,NA,NA,38.6,"adult",NA,"hi","positive",2013-06-07,75.2,"adult","before","1"
"59",1603,"t67623",3,FALSE,FALSE,"hel","00-jan-00",1,"mob",NA,4,FALSE,NA,NA,"talek","o",2009-11-28,"06:20:00","07:26:00",2009,2,"f","r","mrph",NA,NA,NA,2006-11-11,NA,NA,NA,"dls","double check: alive but with disappeared date",2006-02-01,NA,"talek",2006-12-30,NA,NA,45.9,"adult",NA,"hi","positive",2012-05-06,75.1,"adult","before","1"
"60",1646,"t67623",3,FALSE,FALSE,"roos","00-jan-00",1,"app","lion",4,FALSE,NA,NA,"talek","o",2009-11-28,"06:20:00","07:26:00",2009,8,"f","r","nav",NA,NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",2007-03-02,NA,"talek",2008-07-24,NA,NA,32.9,"adult",NA,"hi","positive",2013-06-07,75.2,"adult","before","1"
"61",1666,"t28037",3,TRUE,FALSE,"bos","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,7,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult",NA,"low","positive",1997-01-22,NA,"adult","after","1"
"62",1667,"t28037",3,TRUE,FALSE,"bp","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,9,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult",NA,"low","positive",1997-07-15,NA,"adult","after","1"
"63",1671,"t28037",3,TRUE,FALSE,"mig","00-jan-00",3,"mob","lion",1,FALSE,NA,"whoop gig run close","talek","k",2001-06-26,"06:54:00","08:27:00",2001,9,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult",NA,"low","positive",1994-09-20,NA,"adult","after","1"
"64",1696,"t28037",3,TRUE,FALSE,"sein","00-jan-00",1,"mob","lion",1,FALSE,NA,NA,"talek","k",2001-06-26,"06:54:00","08:27:00",2001,8,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-03-09,"dead","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,75.2,"adult",NA,"low","positive",1997-07-16,27.8,"adult","after","1"
"65",1728,"t15357",3,TRUE,FALSE,"fn","00-jan-00",2,"mob",NA,1,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,5,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1991-07-11,NA,"adult","after","1"
"66",1732,"t15357",3,TRUE,FALSE,"vgs","00-jan-00",1,"dist",NA,2,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,3,"m","i",NA,NA,NA,NA,NA,NA,NA,2006-01-25,"dead","snakebite?",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1999-03-05,NA,"adult","before","1"
"67",1760,"t15357",3,TRUE,FALSE,"bp","00-jan-00",3,"dist",NA,10,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,3,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult","after","1"
"68",1762,"t15357",3,TRUE,FALSE,"bos","00-jan-00",4,"dist",NA,5,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,6,"m","i",NA,NA,NA,NA,NA,NA,NA,2002-06-28,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-01-22,NA,"adult","after","1"
"69",1764,"t15357",3,TRUE,FALSE,"mig","00-jan-00",4,"dist",NA,5,FALSE,NA,NA,"talek","k",1998-10-02,"06:34:00","08:03:00",1998,7,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1994-09-20,NA,"adult","after","1"
"70",1823,"t11259",3,FALSE,FALSE,"sein","00-jan-00",1,"app circle lioness",NA,5,FALSE,NA,NA,"talek","d",1997-03-08,"06:23:00","07:24:00",1997,3,"f","r","bsh","rcn","1","2",1995-12-03,NA,NA,2002-03-09,"dead","humans (masai?)",1995-03-22,NA,"talek",1996-04-01,NA,NA,23.6,"subadult","low","low","positive",1997-07-16,27.8,"adult","before","1"
"71",1845,"t16676",3,TRUE,FALSE,"exc","00-jan-00",5,"mob",NA,30,FALSE,NA,NA,"talek","k",1999-01-06,"07:18:00","08:24:00",1999,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-09-29,"dead","unknown",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1999-02-03,NA,"adult","before","1"
